provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family,optimized_threshold,optimization_status,optimization_objective,optimization_method,optimized_valid_prediction_n,optimized_reference_positive_n,optimized_reference_negative_n,optimized_predicted_positive_n,optimized_accuracy,optimized_recall,optimized_precision,optimized_f1,optimized_specificity,optimized_auroc,optimized_auroc_flag,optimized_tn,optimized_fp,optimized_fn,optimized_tp,optimized_distance_from_0_5
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.08,optimized,f1,in_sample_exploratory,76,46,30,49,0.5921052631578947,0.6956521739130435,0.6530612244897959,0.6736842105263158,0.43333333333333335,0.5894927536231883,,13,17,14,32,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,new_gold_test_only,new_gold,0.08,optimized,f1,in_sample_exploratory,76,46,30,49,0.5921052631578947,0.6956521739130435,0.6530612244897959,0.6736842105263158,0.43333333333333335,0.5894927536231883,,13,17,14,32,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,old_gold_test_only,old_gold,0.08,optimized,f1,in_sample_exploratory,76,54,22,49,0.6710526315789473,0.7222222222222222,0.7959183673469388,0.7572815533980582,0.5454545454545454,0.640993265993266,,12,10,15,39,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,labeler_anmol,individual_coder,0.08,optimized,f1,in_sample_exploratory,53,39,14,38,0.6415094339622641,0.7435897435897436,0.7631578947368421,0.7532467532467533,0.35714285714285715,0.608974358974359,,5,9,10,29,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,pooled_coder_labels,pooled_coder_decisions,0.08,optimized,f1,in_sample_exploratory,122,90,32,83,0.6311475409836066,0.7111111111111111,0.7710843373493976,0.7398843930635838,0.40625,0.5881944444444445,,13,19,26,64,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,labeler_kyle,individual_coder,0.08,optimized,f1,in_sample_exploratory,51,46,5,32,0.6862745098039216,0.6739130434782609,0.96875,0.7948717948717948,0.8,0.6847826086956522,,4,1,15,31,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.08,optimized,f1,in_sample_exploratory,68,41,27,47,0.5882352941176471,0.7317073170731707,0.6382978723404256,0.6818181818181818,0.37037037037037035,0.5984643179765131,,10,17,11,30,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,new_gold_test_only__drop_kyle_only,new_gold,0.08,optimized,f1,in_sample_exploratory,68,41,27,47,0.5882352941176471,0.7317073170731707,0.6382978723404256,0.6818181818181818,0.37037037037037035,0.5984643179765131,,10,17,11,30,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,old_gold_test_only__drop_kyle_only,old_gold,0.08,optimized,f1,in_sample_exploratory,68,49,19,47,0.6764705882352942,0.7551020408163265,0.7872340425531915,0.7708333333333334,0.47368421052631576,0.6450053705692803,,9,10,12,37,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,labeler_anmol__drop_kyle_only,individual_coder,0.08,optimized,f1,in_sample_exploratory,53,39,14,38,0.6415094339622641,0.7435897435897436,0.7631578947368421,0.7532467532467533,0.35714285714285715,0.608974358974359,,5,9,10,29,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.08,optimized,f1,in_sample_exploratory,114,85,29,81,0.631578947368421,0.7294117647058823,0.7654320987654321,0.7469879518072289,0.3448275862068966,0.581947261663286,,10,19,23,62,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,labeler_kyle__drop_kyle_only,individual_coder,0.08,optimized,f1,in_sample_exploratory,43,41,2,30,0.6976744186046512,0.7073170731707317,0.9666666666666667,0.8169014084507042,0.5,0.6341463414634146,,1,1,12,29,0.42
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.06,optimized,f1,in_sample_exploratory,76,46,30,55,0.5921052631578947,0.7608695652173914,0.6363636363636364,0.693069306930693,0.3333333333333333,0.6213768115942029,,10,20,11,35,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,0.06,optimized,f1,in_sample_exploratory,76,46,30,55,0.5921052631578947,0.7608695652173914,0.6363636363636364,0.693069306930693,0.3333333333333333,0.6213768115942029,,10,20,11,35,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,0.06,optimized,f1,in_sample_exploratory,76,54,22,55,0.6447368421052632,0.7592592592592593,0.7454545454545455,0.7522935779816514,0.36363636363636365,0.6064814814814814,,8,14,13,41,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,0.06,optimized,f1,in_sample_exploratory,53,39,14,44,0.6415094339622641,0.8205128205128205,0.7272727272727273,0.7710843373493976,0.14285714285714285,0.5659340659340659,,2,12,7,32,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,0.06,optimized,f1,in_sample_exploratory,122,90,32,94,0.6721311475409836,0.8,0.7659574468085106,0.782608695652174,0.3125,0.6413194444444446,,10,22,18,72,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,0.06,optimized,f1,in_sample_exploratory,51,46,5,38,0.7647058823529411,0.782608695652174,0.9473684210526315,0.8571428571428571,0.6,0.7804347826086957,,3,2,10,36,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.06,optimized,f1,in_sample_exploratory,68,41,27,52,0.6029411764705882,0.8048780487804879,0.6346153846153846,0.7096774193548387,0.2962962962962963,0.6513098464317977,,8,19,8,33,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,0.06,optimized,f1,in_sample_exploratory,68,41,27,52,0.6029411764705882,0.8048780487804879,0.6346153846153846,0.7096774193548387,0.2962962962962963,0.6513098464317977,,8,19,8,33,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,0.06,optimized,f1,in_sample_exploratory,68,49,19,52,0.6617647058823529,0.7959183673469388,0.75,0.7722772277227723,0.3157894736842105,0.6154672395273899,,6,13,10,39,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,0.06,optimized,f1,in_sample_exploratory,53,39,14,44,0.6415094339622641,0.8205128205128205,0.7272727272727273,0.7710843373493976,0.14285714285714285,0.5659340659340659,,2,12,7,32,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,pooled_coder_labels__drop_kyle_only,pooled_coder_decisions,0.06,optimized,f1,in_sample_exploratory,114,85,29,91,0.6842105263157895,0.8235294117647058,0.7692307692307693,0.7954545454545454,0.27586206896551724,0.6476673427991887,,8,21,15,70,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,0.06,optimized,f1,in_sample_exploratory,43,41,2,35,0.813953488372093,0.8292682926829268,0.9714285714285714,0.8947368421052632,0.5,0.8170731707317074,,1,1,7,34,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,0.18,optimized,f1,in_sample_exploratory,76,46,30,40,0.631578947368421,0.6304347826086957,0.725,0.6744186046511628,0.6333333333333333,0.6130434782608695,,19,11,17,29,0.32
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,new_gold_test_only,new_gold,0.18,optimized,f1,in_sample_exploratory,76,46,30,40,0.631578947368421,0.6304347826086957,0.725,0.6744186046511628,0.6333333333333333,0.6130434782608695,,19,11,17,29,0.32
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,old_gold_test_only,old_gold,0.06,optimized,f1,in_sample_exploratory,76,54,22,57,0.618421052631579,0.7592592592592593,0.7192982456140351,0.7387387387387387,0.2727272727272727,0.6115319865319865,,6,16,13,41,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,labeler_anmol,individual_coder,0.06,optimized,f1,in_sample_exploratory,53,39,14,43,0.6226415094339622,0.7948717948717948,0.7209302325581395,0.7560975609756098,0.14285714285714285,0.5769230769230769,,2,12,8,31,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,0.06,optimized,f1,in_sample_exploratory,122,90,32,94,0.6065573770491803,0.7555555555555555,0.723404255319149,0.7391304347826086,0.1875,0.617013888888889,,6,26,22,68,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,labeler_kyle,individual_coder,0.06,optimized,f1,in_sample_exploratory,51,46,5,38,0.6470588235294118,0.717391304347826,0.868421052631579,0.7857142857142857,0.0,0.6413043478260869,,0,5,13,33,0.44
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,0.18,optimized,f1,in_sample_exploratory,68,41,27,37,0.6470588235294118,0.6585365853658537,0.7297297297297297,0.6923076923076923,0.6296296296296297,0.6458897922312556,,17,10,14,27,0.32
openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,codebook_with_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,0.18,optimized,f1,in_sample_exploratory,68,41,27,37,0.6470588235294118,0.6585365853658537,0.7297297297297297,0.6923076923076923,0.6296296296296297,0.6458897922312556,,17,10,14,27,0.32
