analysis_level,prompt_variant,evaluation_scope,target_family,ensemble_name,valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,expected_n,prediction_coverage,document,target_labeler
ensemble_overall,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative,equal_weight_models,75,45,30,16,0.5866666666666667,0.3333333333333333,0.9375,0.4918032786885246,0.9666666666666667,0.6855555555555555,,29,1,30,15,0.5,76,0.9868421052631579,,
ensemble_overall,codebook_no_examples_no_checklist,all_paragraphs_new_gold_unlabeled_no__drop_kyle_only,full_corpus_assumed_negative,equal_weight_models,67,40,27,16,0.6119402985074627,0.375,0.9375,0.5357142857142857,0.9629629629629629,0.712962962962963,,26,1,25,15,0.5,68,0.9852941176470589,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_anmol,individual_coder,equal_weight_models,52,38,14,15,0.5192307692307693,0.3684210526315789,0.9333333333333333,0.5283018867924528,0.9285714285714286,0.5968045112781956,,13,1,24,14,0.5,53,0.9811320754716981,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_anmol__drop_kyle_only,individual_coder,equal_weight_models,52,38,14,15,0.5192307692307693,0.3684210526315789,0.9333333333333333,0.5283018867924528,0.9285714285714286,0.5968045112781956,,13,1,24,14,0.5,53,0.9811320754716981,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_kyle,individual_coder,equal_weight_models,50,45,5,12,0.34,0.26666666666666666,1.0,0.42105263157894735,1.0,0.7844444444444444,,5,0,33,12,0.5,51,0.9803921568627451,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_kyle__drop_kyle_only,individual_coder,equal_weight_models,42,40,2,12,0.3333333333333333,0.3,1.0,0.46153846153846156,1.0,0.70625,,2,0,28,12,0.5,43,0.9767441860465116,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_prerana,individual_coder,equal_weight_models,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8153846153846155,,13,0,2,3,0.5,18,1.0,,
ensemble_overall,codebook_no_examples_no_checklist,labeler_prerana__drop_kyle_only,individual_coder,equal_weight_models,18,5,13,3,0.8888888888888888,0.6,1.0,0.75,1.0,0.8153846153846155,,13,0,2,3,0.5,18,1.0,,
ensemble_overall,codebook_no_examples_no_checklist,new_gold_test_only,new_gold,equal_weight_models,75,45,30,16,0.5866666666666667,0.3333333333333333,0.9375,0.4918032786885246,0.9666666666666667,0.6855555555555555,,29,1,30,15,0.5,76,0.9868421052631579,,
ensemble_overall,codebook_no_examples_no_checklist,new_gold_test_only__drop_kyle_only,new_gold,equal_weight_models,67,40,27,16,0.6119402985074627,0.375,0.9375,0.5357142857142857,0.9629629629629629,0.712962962962963,,26,1,25,15,0.5,68,0.9852941176470589,,
ensemble_overall,codebook_no_examples_no_checklist,old_gold_test_only,old_gold,equal_weight_models,75,53,22,16,0.48,0.2830188679245283,0.9375,0.43478260869565216,0.9545454545454546,0.6372212692967409,,21,1,38,15,0.5,76,0.9868421052631579,,
ensemble_overall,codebook_no_examples_no_checklist,old_gold_test_only__drop_kyle_only,old_gold,equal_weight_models,67,48,19,16,0.4925373134328358,0.3125,0.9375,0.46875,0.9473684210526315,0.6376096491228069,,18,1,33,15,0.5,68,0.9852941176470589,,
ensemble_overall,codebook_no_examples_no_checklist,pooled_coder_labels,pooled_coder_decisions,equal_weight_models,120,88,32,30,0.5,0.32954545454545453,0.9666666666666667,0.4915254237288136,0.96875,0.6921164772727273,,31,1,59,29,0.5,122,0.9836065573770492,,
