dimension,scope,coder_a,coder_b,n_units,percent_agreement,cohen_kappa
unlearning_binary,unique_text,openai,anthropic,91,0.9230769230769231,0.4916201117318436
unlearning_binary,unique_text,openai,gemini,91,0.8791208791208791,0.46441947565543074
unlearning_binary,unique_text,anthropic,gemini,91,0.8901098901098901,0.5280082987551867
target_including_none,unique_text,openai,anthropic,91,0.9230769230769231,0.5019546520719311
target_including_none,unique_text,openai,gemini,91,0.8681318681318682,0.4339035769828927
target_including_none,unique_text,anthropic,gemini,91,0.8901098901098901,0.5429432446007032
target_on_any_model_positive,unique_text,openai,anthropic,18,0.6111111111111112,0.3152173913043478
target_on_any_model_positive,unique_text,openai,gemini,18,0.3333333333333333,0.136
target_on_any_model_positive,unique_text,anthropic,gemini,18,0.4444444444444444,0.2468619246861924
unlearning_binary,all_occurrences,openai,anthropic,96,0.9270833333333334,0.49397590361445787
unlearning_binary,all_occurrences,openai,gemini,96,0.8854166666666666,0.467741935483871
unlearning_binary,all_occurrences,anthropic,gemini,96,0.8958333333333334,0.53125
target_including_none,all_occurrences,openai,anthropic,96,0.9270833333333334,0.5036927621861151
target_including_none,all_occurrences,openai,gemini,96,0.875,0.43639921722113506
target_including_none,all_occurrences,anthropic,gemini,96,0.8958333333333334,0.5452392231170061
target_on_any_model_positive,all_occurrences,openai,anthropic,18,0.6111111111111112,0.3152173913043478
target_on_any_model_positive,all_occurrences,openai,gemini,18,0.3333333333333333,0.136
target_on_any_model_positive,all_occurrences,anthropic,gemini,18,0.4444444444444444,0.2468619246861924
