valid_prediction_n,reference_positive_n,reference_negative_n,predicted_positive_n,accuracy,recall,precision,f1,specificity,auroc,auroc_flag,tn,fp,fn,tp,threshold,distance_from_0_5,provider,run_name,requested_model,prompt_variant,evaluation_scope,target_family
76,46,30,49,0.5921052631578947,0.6956521739130435,0.6530612244897959,0.6736842105263158,0.43333333333333335,0.5894927536231883,,13,17,14,32,0.08,0.42,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,49,0.5921052631578947,0.6956521739130435,0.6530612244897959,0.6736842105263158,0.43333333333333335,0.5894927536231883,,13,17,14,32,0.07,0.43,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,53,0.5394736842105263,0.6956521739130435,0.6037735849056604,0.6464646464646465,0.3,0.5894927536231883,,9,21,14,32,0.06,0.44,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,53,0.5394736842105263,0.6956521739130435,0.6037735849056604,0.6464646464646465,0.3,0.5894927536231883,,9,21,14,32,0.05,0.45,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,39,0.5394736842105263,0.5434782608695652,0.6410256410256411,0.5882352941176471,0.5333333333333333,0.5894927536231883,,16,14,21,25,0.1,0.4,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,39,0.5394736842105263,0.5434782608695652,0.6410256410256411,0.5882352941176471,0.5333333333333333,0.5894927536231883,,16,14,21,25,0.09,0.41000000000000003,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,37,0.5131578947368421,0.5,0.6216216216216216,0.5542168674698795,0.5333333333333333,0.5894927536231883,,16,14,23,23,0.12,0.38,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,37,0.5131578947368421,0.5,0.6216216216216216,0.5542168674698795,0.5333333333333333,0.5894927536231883,,16,14,23,23,0.11,0.39,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,30,0.47368421052631576,0.391304347826087,0.6,0.47368421052631576,0.6,0.5894927536231883,,18,12,28,18,0.18,0.32,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
76,46,30,30,0.47368421052631576,0.391304347826087,0.6,0.47368421052631576,0.6,0.5894927536231883,,18,12,28,18,0.17,0.32999999999999996,openai,openai_gpt_5_6_terra_low,gpt-5.6-terra,direct_target_only,all_paragraphs_new_gold_unlabeled_no,full_corpus_assumed_negative
