provider,model,prompt_variant,status,n_rows,input_tokens,output_tokens,total_tokens,cost_usd,avg_latency_seconds
anthropic,claude-haiku-4-5-20251001,definitions_examples_no_metadata,dry_run,11,45116,0,45116,0.045116,0.0
anthropic,claude-haiku-4-5-20251001,definitions_examples_with_metadata,dry_run,11,51079,0,51079,0.051079,0.0
anthropic,claude-haiku-4-5-20251001,definitions_only,dry_run,11,29486,0,29486,0.029486000000000002,0.0
anthropic,claude-haiku-4-5-20251001,direct_no_context,dry_run,11,4145,0,4145,0.004145,0.0
gemini,gemini-2.5-flash-lite,definitions_examples_no_metadata,dry_run,11,45116,0,45116,0.0045116,0.0
gemini,gemini-2.5-flash-lite,definitions_examples_with_metadata,dry_run,11,51079,0,51079,0.0051079,0.0
gemini,gemini-2.5-flash-lite,definitions_only,dry_run,11,29486,0,29486,0.0029486,0.0
gemini,gemini-2.5-flash-lite,direct_no_context,dry_run,11,4145,0,4145,0.00041450000000000005,0.0
openai,gpt-5.4-nano,definitions_examples_no_metadata,dry_run,11,33382,0,33382,0.006676400000000001,0.0
openai,gpt-5.4-nano,definitions_examples_with_metadata,dry_run,11,39982,0,39982,0.0079964,0.0
openai,gpt-5.4-nano,definitions_only,dry_run,11,22107,0,22107,0.004421400000000001,0.0
openai,gpt-5.4-nano,direct_no_context,dry_run,11,3154,0,3154,0.0006308,0.0
