analysis_dataset,condition_id,provider,rows,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_normalized_rate,format_only_quote_matches,wrong_scope_quotes,unmatched_quotes,target_departure_failures
phase1,P1_DIRECT,anthropic,42,1.0,0.8809523809523809,0.9523809523809523,5,0,2,0
phase1,P1_DIRECT,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,1,1
phase1,P1_DIRECT,openai,42,1.0,1.0,1.0,0,0,3,0
phase1,P2_D1_OLD,anthropic,42,1.0,0.8571428571428571,0.9285714285714286,7,0,2,1
phase1,P2_D1_OLD,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,4,2
phase1,P2_D1_OLD,openai,42,1.0,0.9523809523809523,0.9523809523809523,0,0,8,1
phase1,P2_D2_CURRENT,anthropic,42,1.0,0.8809523809523809,0.9285714285714286,5,0,2,0
phase1,P2_D2_CURRENT,gemini,42,1.0,0.9047619047619048,0.9047619047619048,0,0,7,1
phase1,P2_D2_CURRENT,openai,42,1.0,0.9285714285714286,0.9285714285714286,0,0,33,1
phase1,P2_D3_ADAPTIVE,anthropic,42,1.0,0.8571428571428571,0.9523809523809523,6,0,1,1
phase1,P2_D3_ADAPTIVE,gemini,42,1.0,0.9523809523809523,0.9523809523809523,0,0,3,1
phase1,P2_D3_ADAPTIVE,openai,42,1.0,0.9285714285714286,0.9285714285714286,0,0,18,1
phase1,P3_D1_OLD,anthropic,42,1.0,0.7619047619047619,0.9285714285714286,10,0,35,1
phase1,P3_D1_OLD,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,49,1
phase1,P3_D1_OLD,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,36,0
phase1,P3_D2_CURRENT,anthropic,42,1.0,0.7857142857142857,0.9285714285714286,10,0,48,1
phase1,P3_D2_CURRENT,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,75,2
phase1,P3_D2_CURRENT,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,51,0
phase1,P3_D3_ADAPTIVE,anthropic,42,1.0,0.7857142857142857,0.9047619047619048,8,0,50,1
phase1,P3_D3_ADAPTIVE,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,70,2
phase1,P3_D3_ADAPTIVE,openai,42,1.0,1.0,1.0,0,0,51,0
phase2,P1_DIRECT__C1_target,anthropic,42,1.0,0.8809523809523809,0.9523809523809523,5,0,2,0
phase2,P1_DIRECT__C1_target,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,1,1
phase2,P1_DIRECT__C1_target,openai,42,1.0,1.0,1.0,0,0,3,0
phase2,P1_DIRECT__C2_metadata,anthropic,42,1.0,0.8571428571428571,0.9047619047619048,4,0,2,2
phase2,P1_DIRECT__C2_metadata,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,2,0
phase2,P1_DIRECT__C2_metadata,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,7,1
phase2,P1_DIRECT__C3_plusminus1,anthropic,42,1.0,0.7619047619047619,0.8571428571428571,11,0,3,1
phase2,P1_DIRECT__C3_plusminus1,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,2,0
phase2,P1_DIRECT__C3_plusminus1,openai,42,1.0,0.9523809523809523,0.9523809523809523,0,0,16,0
phase2,P1_DIRECT__C4_plusminus2,anthropic,42,1.0,0.6428571428571429,0.8333333333333334,14,0,4,2
phase2,P1_DIRECT__C4_plusminus2,gemini,42,1.0,1.0,1.0,0,0,2,0
phase2,P1_DIRECT__C4_plusminus2,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,10,1
phase2,P3_D2_CURRENT__C1_target,anthropic,42,1.0,0.7857142857142857,0.9285714285714286,10,0,48,1
phase2,P3_D2_CURRENT__C1_target,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,75,2
phase2,P3_D2_CURRENT__C1_target,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,51,0
phase2,P3_D2_CURRENT__C2_metadata,anthropic,42,1.0,0.7619047619047619,0.9047619047619048,10,0,47,1
phase2,P3_D2_CURRENT__C2_metadata,gemini,42,1.0,0.9523809523809523,0.9523809523809523,0,0,68,1
phase2,P3_D2_CURRENT__C2_metadata,openai,42,1.0,1.0,1.0,0,0,48,0
phase2,P3_D2_CURRENT__C3_plusminus1,anthropic,42,1.0,0.6904761904761905,0.9047619047619048,14,0,31,2
phase2,P3_D2_CURRENT__C3_plusminus1,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,69,1
phase2,P3_D2_CURRENT__C3_plusminus1,openai,42,1.0,0.9761904761904762,0.9761904761904762,0,0,44,1
phase2,P3_D2_CURRENT__C4_plusminus2,anthropic,42,1.0,0.6190476190476191,0.8809523809523809,20,0,23,1
phase2,P3_D2_CURRENT__C4_plusminus2,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,73,1
phase2,P3_D2_CURRENT__C4_plusminus2,openai,42,1.0,0.9285714285714286,0.9285714285714286,0,1,46,0
phase3,W1_ONE_STAGE,anthropic,42,1.0,0.8809523809523809,0.9523809523809523,6,0,2,0
phase3,W1_ONE_STAGE,gemini,42,1.0,0.9761904761904762,0.9761904761904762,0,0,1,1
phase3,W1_ONE_STAGE,openai,42,1.0,0.9523809523809523,0.9523809523809523,0,0,9,1
phase3,W2_BINARY_FIRST,anthropic,42,1.0,0.8333333333333334,0.9285714285714286,11,0,5,0
phase3,W2_BINARY_FIRST,gemini,42,1.0,0.9285714285714286,0.9285714285714286,0,0,5,2
phase3,W2_BINARY_FIRST,openai,42,1.0,0.9285714285714286,0.9523809523809523,1,0,10,1
stability,FINALIST_STABILITY,anthropic,210,1.0,0.8857142857142857,0.9523809523809523,29,0,10,0
stability,FINALIST_STABILITY,gemini,210,1.0,0.9761904761904762,0.9761904761904762,0,0,5,5
stability,FINALIST_STABILITY,openai,210,1.0,0.9523809523809523,0.9523809523809523,0,0,40,6
