run_key,phase,provider,condition_id,row_id,seed,item_index,element,identified,quote,claimed_scope,strict_match,normalized_match,token_sequence_match,claimed_scope_valid,found_in_scopes,format_only_match,wrong_scope,analysis_dataset
6e2a81c384b4d87ee62aa37bea6d8258ac8483ddc59b305afabb35ad1af66361,phase1,openai,P2_D3_ADAPTIVE,P031,17,0,prior_state,,FEMA’s organizational placement,target,False,False,False,False,[],False,False,phase1
6e2a81c384b4d87ee62aa37bea6d8258ac8483ddc59b305afabb35ad1af66361,phase1,openai,P2_D3_ADAPTIVE,P031,17,1,inadequacy_or_failure,,FEMA’s mission performance during Hurricane Katrina,target,True,True,True,True,['target'],False,False,phase1
6e2a81c384b4d87ee62aa37bea6d8258ac8483ddc59b305afabb35ad1af66361,phase1,openai,P2_D3_ADAPTIVE,P031,17,2,departure_or_reconfiguration,,"These difficulties would not, we believe, be fixed by simply moving FEMA to an independent status.",target,True,True,True,True,['target'],False,False,phase1
98777214d5d46fd2db3579f3295d5c12d31257c4ac4f375c56362256a3b3af26,phase1,openai,P2_D1_OLD,P031,17,0,prior_state,,FEMA’s mission performance during Hurricane Katrina,target,True,True,True,True,['target'],False,False,phase1
98777214d5d46fd2db3579f3295d5c12d31257c4ac4f375c56362256a3b3af26,phase1,openai,P2_D1_OLD,P031,17,1,inadequacy_or_failure,,organizational changes alone may not adequately address underlying systemic conditions,target,True,True,True,True,['target'],False,False,phase1
98777214d5d46fd2db3579f3295d5c12d31257c4ac4f375c56362256a3b3af26,phase1,openai,P2_D1_OLD,P031,17,2,departure_or_reconfiguration,,,absent,True,True,True,True,[],False,False,phase1
6f27fb269047f09632d7f4aabf22869fa5132094be4f4752efbbc9412b95a958,phase1,openai,P2_D2_CURRENT,P031,17,0,prior_state,,FEMA’s organizational placement,target,False,False,False,False,[],False,False,phase1
6f27fb269047f09632d7f4aabf22869fa5132094be4f4752efbbc9412b95a958,phase1,openai,P2_D2_CURRENT,P031,17,1,inadequacy_or_failure,,organizational changes alone may not adequately address underlying systemic conditions,target,True,True,True,True,['target'],False,False,phase1
6f27fb269047f09632d7f4aabf22869fa5132094be4f4752efbbc9412b95a958,phase1,openai,P2_D2_CURRENT,P031,17,2,departure_or_reconfiguration,,"These difficulties would not, we believe, be fixed by simply moving FEMA to an independent status.",target,True,True,True,True,['target'],False,False,phase1
17b590d1b8de0fc0bab43a41efb7ea989678c4aa4b10b99b78b2ac7798e91298,phase1,openai,P3_D1_OLD,P031,17,0,prior_state,True,remain within the Department of Homeland Security,target,True,True,True,True,['target'],False,False,phase1
