condition_id,provider,definition_id,prompt_style,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P1_DIRECT,anthropic,D0_none,P1_direct,21,16,5,6,15,5,4,1,11,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.26666666666666666,0.5101904761904762,1.0,0.8571428571428571,0.9047619047619048,0.9104761904761903,33141,2647,0.046376,1.5668043467618689
P1_DIRECT,gemini,D0_none,P1_direct,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5091666666666667,1.0,0.9523809523809523,0.9523809523809523,0.9547619047619048,11148,3349,0.0078105,1.6360361474285778
P1_DIRECT,openai,D0_none,P1_direct,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.5471333333333332,1.0,1.0,1.0,0.9266666666666667,18693,2884,0.090659375,2.0872878071904726
P2_D1_OLD,anthropic,D1_old_broad,P2_simple_definition,21,16,5,11,10,9,3,2,7,0.5714285714285714,0.58125,0.8181818181818182,0.5625,0.6,0.6666666666666666,0.13858046563114676,0.1209302325581395,0.3,0.3727285714285714,1.0,0.8571428571428571,0.9047619047619048,0.870952380952381,36165,3130,0.051815,1.7705273972857132
P2_D1_OLD,gemini,D1_old_broad,P2_simple_definition,21,16,5,7,14,7,5,0,9,0.5714285714285714,0.71875,1.0,0.4375,1.0,0.6086956521739131,0.39528470752104744,0.2702702702702702,0.35714285714285715,0.41583333333333333,1.0,0.9047619047619048,0.9047619047619048,0.9404761904761905,13920,3522,0.008762999999999998,1.321569923428537
P2_D1_OLD,openai,D1_old_broad,P2_simple_definition,21,16,5,11,10,9,3,2,7,0.5714285714285714,0.58125,0.8181818181818182,0.5625,0.6,0.6666666666666666,0.13858046563114676,0.1209302325581395,0.3,0.3792333333333333,1.0,0.9523809523809523,0.9523809523809523,0.8776190476190476,21570,3106,0.10600499999999999,3.241593447333327
P2_D2_CURRENT,anthropic,D2_current_strict,P2_simple_definition,21,16,5,4,17,3,4,1,13,0.3333333333333333,0.49375,0.75,0.1875,0.8,0.3,-0.01355815361366601,-0.006849315068493178,0.23529411764705882,0.5883857142857142,1.0,0.8095238095238095,0.8571428571428571,0.928095238095238,36291,2434,0.048461,2.7207041115714112
P2_D2_CURRENT,gemini,D2_current_strict,P2_simple_definition,21,16,5,1,20,1,5,0,15,0.2857142857142857,0.53125,1.0,0.0625,1.0,0.11764705882352941,0.125,0.03076923076923066,0.25,0.6738095238095239,1.0,0.9047619047619048,0.9047619047619048,0.9714285714285713,14004,3569,0.0088545,1.3454104482381288
P2_D2_CURRENT,openai,D2_current_strict,P2_simple_definition,21,16,5,2,19,2,5,0,14,0.3333333333333333,0.5625,1.0,0.125,1.0,0.2222222222222222,0.18136906252750293,0.06369426751592355,0.2631578947368421,0.6090047619047618,1.0,0.9047619047619048,0.9047619047619048,0.9395238095238095,21633,2696,0.10002749999999998,2.5988034327619
P2_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P2_simple_definition,21,16,5,10,11,8,3,2,8,0.5238095238095238,0.55,0.8,0.5,0.6,0.6153846153846154,0.08528028654224416,0.07079646017699126,0.2727272727272727,0.40682380952380953,1.0,0.8095238095238095,0.9047619047619048,0.8623809523809525,38622,3107,0.054157000000000004,2.346589534857133
P2_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P2_simple_definition,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5080952380952382,1.0,0.9523809523809523,0.9523809523809523,0.9666666666666666,16125,3604,0.009437249999999998,1.3756120303332864
