condition_id,provider,definition_id,prompt_style,context_id,workflow,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_strict_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,estimated_cost_usd,mean_latency_seconds
P1_DIRECT,anthropic,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.4791857142857143,1.0,0.8809523809523809,0.9523809523809523,0.8976190476190476,66867,5541,0.09457199999999999,1.7252448411666246
P1_DIRECT,gemini,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4504761904761906,1.0,0.9761904761904762,0.9761904761904762,0.9476190476190476,22839,6934,0.016110749999999997,1.487315987023819
P1_DIRECT,openai,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,8,34,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5014738095238095,1.0,1.0,1.0,0.9211904761904761,37932,6158,0.18934875,2.218050627166655
P2_D1_OLD,anthropic,D1_old_broad,P2_simple_definition,C1_target,W1_one_stage,42,32,10,23,19,19,6,4,13,0.5952380952380952,0.596875,0.8260869565217391,0.59375,0.6,0.6909090909090909,0.16579673806321626,0.14797136038186154,0.3157894736842105,0.3472523809523809,1.0,0.8571428571428571,0.9285714285714286,0.8595238095238094,72915,6376,0.104795,1.7824112704523931
P2_D1_OLD,gemini,D1_old_broad,P2_simple_definition,C1_target,W1_one_stage,42,32,10,15,27,13,8,2,19,0.5,0.603125,0.8666666666666667,0.40625,0.8,0.5531914893617021,0.18333333333333332,0.13017751479289952,0.2962962962962963,0.4730357142857143,1.0,0.9285714285714286,0.9285714285714286,0.9392857142857142,28383,6958,0.01753275,1.3038514952857039
P2_D1_OLD,openai,D1_old_broad,P2_simple_definition,C1_target,W1_one_stage,42,32,10,24,18,20,6,4,12,0.6190476190476191,0.6125,0.8333333333333334,0.625,0.6,0.7142857142857143,0.19364916731037085,0.17647058823529405,0.3333333333333333,0.3300261904761904,1.0,0.9523809523809523,0.9523809523809523,0.8673809523809523,43686,6614,0.22083687500000004,2.737954925547613
P2_D2_CURRENT,anthropic,D2_current_strict,P2_simple_definition,C1_target,W1_one_stage,42,32,10,11,31,10,9,1,22,0.4523809523809524,0.60625,0.9090909090909091,0.3125,0.9,0.46511627906976744,0.2058527788710052,0.1234119782214157,0.2903225806451613,0.4947619047619048,1.0,0.8809523809523809,0.9285714285714286,0.9161904761904763,73167,4983,0.09808199999999999,2.3267193371904655
P2_D2_CURRENT,gemini,D2_current_strict,P2_simple_definition,C1_target,W1_one_stage,42,32,10,8,34,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5395238095238096,1.0,0.9047619047619048,0.9047619047619048,0.9571428571428572,28551,7267,0.01803825,1.3475478875000353
P2_D2_CURRENT,openai,D2_current_strict,P2_simple_definition,C1_target,W1_one_stage,42,32,10,7,35,7,10,0,25,0.40476190476190477,0.609375,1.0,0.21875,1.0,0.358974358974359,0.25,0.11764705882352944,0.2857142857142857,0.5275095238095238,1.0,0.9285714285714286,0.9285714285714286,0.9314285714285714,43812,5795,0.20890062499999998,2.4203478755952417
P2_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P2_simple_definition,C1_target,W1_one_stage,42,32,10,14,28,12,8,2,20,0.47619047619047616,0.5875,0.8571428571428571,0.375,0.8,0.5217391304347826,0.15811388300841897,0.108108108108108,0.2857142857142857,0.46221428571428563,1.0,0.8571428571428571,0.9523809523809523,0.8876190476190479,77829,5328,0.104469,1.9838260604999938
P2_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P2_simple_definition,C1_target,W1_one_stage,42,32,10,8,34,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.55125,1.0,0.9523809523809523,0.9523809523809523,0.9654761904761904,32793,6990,0.01868325,1.3265939869285528
P2_D3_ADAPTIVE,openai,D3_provisional_adaptive,P2_simple_definition,C1_target,W1_one_stage,42,32,10,3,39,3,10,0,29,0.30952380952380953,0.546875,1.0,0.09375,1.0,0.17142857142857143,0.15504341823651058,0.04694835680751175,0.2564102564102564,0.5982999999999999,1.0,0.9285714285714286,0.9285714285714286,0.9299999999999999,48096,6659,0.25010625,2.511939401976195
P3_D1_OLD,anthropic,D1_old_broad,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,22,20,18,6,4,14,0.5714285714285714,0.58125,0.8181818181818182,0.5625,0.6,0.6666666666666666,0.13858046563114676,0.1209302325581395,0.3,0.3395809523809523,1.0,0.7619047619047619,0.9285714285714286,0.835714285714286,80139,9282,0.126549,2.8056461100476056
P3_D1_OLD,gemini,D1_old_broad,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,17,25,15,8,2,17,0.5476190476190477,0.634375,0.8823529411764706,0.46875,0.8,0.6122448979591837,0.23320024215505536,0.17731958762886602,0.32,0.4376785714285714,1.0,0.9285714285714286,0.9285714285714286,0.9559523809523809,29265,10730,0.023411249999999998,1.872693033547594
P3_D1_OLD,openai,D1_old_broad,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,19,23,16,7,3,16,0.5476190476190477,0.6,0.8421052631578947,0.5,0.7,0.6274509803921569,0.17114501993622325,0.13822894168466537,0.30434782608695654,0.40180952380952384,1.0,0.9761904761904762,0.9761904761904762,0.8766666666666667,47088,8749,0.27830625,2.666238603738106
P3_D2_CURRENT,anthropic,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,16,26,15,9,1,17,0.5714285714285714,0.684375,0.9375,0.46875,0.9,0.625,0.323415144619467,0.23790322580645162,0.34615384615384615,0.3841571428571429,1.0,0.7857142857142857,0.9285714285714286,0.8904761904761906,80391,9050,0.125641,2.589482047690467
P3_D2_CURRENT,gemini,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5124404761904763,1.0,0.9285714285714286,0.9285714285714286,0.9702380952380952,29433,10402,0.02296125,1.5760724741428584
P3_D2_CURRENT,openai,D2_current_strict,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.4802642857142857,1.0,0.9761904761904762,0.9761904761904762,0.9207142857142856,47214,8604,0.2765250000000001,2.7556376237380986
P3_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,12,30,11,9,1,21,0.47619047619047616,0.621875,0.9166666666666666,0.34375,0.9,0.5,0.22980970388562794,0.1444444444444445,0.3,0.4457833333333333,1.0,0.7857142857142857,0.9047619047619048,0.8811904761904763,85053,9116,0.130633,2.317175152261917
P3_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P3_evidence_checklist,C1_target,W1_one_stage,42,32,10,6,36,6,10,0,26,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.6023809523809524,1.0,0.9285714285714286,0.9285714285714286,0.9761904761904762,33675,10431,0.024065249999999996,1.7255378470238265
