condition_id,provider,definition_id,prompt_style,accuracy_aligned,recall_yes_aligned,specificity_aligned,f1_yes_aligned,mcc_aligned,accuracy_common_final,recall_yes_common_final,specificity_common_final,f1_yes_common_final,mcc_common_final
P1_DIRECT,anthropic,D0_none,P1_direct,0.4523809523809524,0.375,0.7,0.5106382978723404,0.06666666666666667,0.4523809523809524,0.375,0.7,0.5106382978723404,0.06666666666666667
P1_DIRECT,gemini,D0_none,P1_direct,0.5238095238095238,0.375,1.0,0.5454545454545454,0.35355339059327373,0.5238095238095238,0.375,1.0,0.5454545454545454,0.35355339059327373
P1_DIRECT,openai,D0_none,P1_direct,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202
P2_D1_OLD,anthropic,D1_old_broad,P2_simple_definition,0.5952380952380952,0.59375,0.6,0.6909090909090909,0.16579673806321626,0.5952380952380952,0.59375,0.6,0.6909090909090909,0.16579673806321626
P2_D1_OLD,gemini,D1_old_broad,P2_simple_definition,0.5,0.40625,0.8,0.5531914893617021,0.18333333333333332,0.5,0.40625,0.8,0.5531914893617021,0.18333333333333332
P2_D1_OLD,openai,D1_old_broad,P2_simple_definition,0.6190476190476191,0.625,0.6,0.7142857142857143,0.19364916731037085,0.6190476190476191,0.625,0.6,0.7142857142857143,0.19364916731037085
P2_D2_CURRENT,anthropic,D2_current_strict,P2_simple_definition,0.4523809523809524,0.3125,0.9,0.46511627906976744,0.2058527788710052,0.4523809523809524,0.3125,0.9,0.46511627906976744,0.2058527788710052
P2_D2_CURRENT,gemini,D2_current_strict,P2_simple_definition,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202
P2_D2_CURRENT,openai,D2_current_strict,P2_simple_definition,0.40476190476190477,0.21875,1.0,0.358974358974359,0.25,0.40476190476190477,0.21875,1.0,0.358974358974359,0.25
P2_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P2_simple_definition,0.47619047619047616,0.375,0.8,0.5217391304347826,0.15811388300841897,0.47619047619047616,0.375,0.8,0.5217391304347826,0.15811388300841897
P2_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P2_simple_definition,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202,0.42857142857142855,0.25,1.0,0.4,0.2711630722733202
P2_D3_ADAPTIVE,openai,D3_provisional_adaptive,P2_simple_definition,0.30952380952380953,0.09375,1.0,0.17142857142857143,0.15504341823651058,0.30952380952380953,0.09375,1.0,0.17142857142857143,0.15504341823651058
P3_D1_OLD,anthropic,D1_old_broad,P3_evidence_checklist,0.5714285714285714,0.5625,0.6,0.6666666666666666,0.13858046563114676,0.5714285714285714,0.5625,0.6,0.6666666666666666,0.13858046563114676
P3_D1_OLD,gemini,D1_old_broad,P3_evidence_checklist,0.5476190476190477,0.46875,0.8,0.6122448979591837,0.23320024215505536,0.5476190476190477,0.46875,0.8,0.6122448979591837,0.23320024215505536
P3_D1_OLD,openai,D1_old_broad,P3_evidence_checklist,0.5476190476190477,0.5,0.7,0.6274509803921569,0.17114501993622325,0.5476190476190477,0.5,0.7,0.6274509803921569,0.17114501993622325
P3_D2_CURRENT,anthropic,D2_current_strict,P3_evidence_checklist,0.5714285714285714,0.46875,0.9,0.625,0.323415144619467,0.5714285714285714,0.46875,0.9,0.625,0.323415144619467
P3_D2_CURRENT,gemini,D2_current_strict,P3_evidence_checklist,0.47619047619047616,0.3125,1.0,0.47619047619047616,0.3125,0.47619047619047616,0.3125,1.0,0.47619047619047616,0.3125
P3_D2_CURRENT,openai,D2_current_strict,P3_evidence_checklist,0.47619047619047616,0.3125,1.0,0.47619047619047616,0.3125,0.47619047619047616,0.3125,1.0,0.47619047619047616,0.3125
P3_D3_ADAPTIVE,anthropic,D3_provisional_adaptive,P3_evidence_checklist,0.47619047619047616,0.34375,0.9,0.5,0.22980970388562794,0.47619047619047616,0.34375,0.9,0.5,0.22980970388562794
P3_D3_ADAPTIVE,gemini,D3_provisional_adaptive,P3_evidence_checklist,0.38095238095238093,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.38095238095238093,0.1875,1.0,0.3157894736842105,0.22821773229381923
P3_D3_ADAPTIVE,openai,D3_provisional_adaptive,P3_evidence_checklist,0.2857142857142857,0.0625,1.0,0.11764705882352941,0.125,0.2857142857142857,0.0625,1.0,0.11764705882352941,0.125
