condition_id,provider,context_id,source_phase,rows,first_call_utc,last_call_utc,returned_models
P1_DIRECT__C1_target,anthropic,C1_target,phase1_reused,42,2026-07-22 20:58:12.488870+00:00,2026-07-22 21:09:08.574487+00:00,claude-haiku-4-5-20251001
P1_DIRECT__C1_target,gemini,C1_target,phase1_reused,42,2026-07-22 21:09:30.457494+00:00,2026-07-22 21:39:36.048229+00:00,gemini-3.1-flash-lite
P1_DIRECT__C1_target,openai,C1_target,phase1_reused,42,2026-07-22 20:44:42.592711+00:00,2026-07-22 20:57:38.058238+00:00,gpt-5.6-terra
P1_DIRECT__C2_metadata,anthropic,C2_metadata,phase2_new_call,42,2026-07-22 22:32:00.966428+00:00,2026-07-22 22:59:57.676041+00:00,claude-haiku-4-5-20251001
P1_DIRECT__C2_metadata,gemini,C2_metadata,phase2_new_call,42,2026-07-22 23:01:49.674153+00:00,2026-07-23 22:40:03.868279+00:00,gemini-3.1-flash-lite
P1_DIRECT__C2_metadata,openai,C2_metadata,phase2_new_call,42,2026-07-22 22:01:09.305911+00:00,2026-07-22 22:30:01.873296+00:00,gpt-5.6-terra
P1_DIRECT__C3_plusminus1,anthropic,C3_plusminus1,phase2_new_call,42,2026-07-22 22:31:32.361233+00:00,2026-07-22 23:00:32.604781+00:00,claude-haiku-4-5-20251001
P1_DIRECT__C3_plusminus1,gemini,C3_plusminus1,phase2_new_call,42,2026-07-22 23:00:52.268931+00:00,2026-07-23 22:40:29.606346+00:00,gemini-3.1-flash-lite
P1_DIRECT__C3_plusminus1,openai,C3_plusminus1,phase2_new_call,42,2026-07-22 22:00:40.388154+00:00,2026-07-22 22:30:30.226870+00:00,gpt-5.6-terra
P1_DIRECT__C4_plusminus2,anthropic,C4_plusminus2,phase2_new_call,42,2026-07-22 22:31:40.260900+00:00,2026-07-22 23:00:04.483556+00:00,claude-haiku-4-5-20251001
P1_DIRECT__C4_plusminus2,gemini,C4_plusminus2,phase2_new_call,42,2026-07-22 23:00:58.251040+00:00,2026-07-23 22:40:09.648259+00:00,gemini-3.1-flash-lite
P1_DIRECT__C4_plusminus2,openai,C4_plusminus2,phase2_new_call,42,2026-07-22 22:00:48.910047+00:00,2026-07-22 22:30:08.462434+00:00,gpt-5.6-terra
P3_D2_CURRENT__C1_target,anthropic,C1_target,phase1_reused,42,2026-07-22 20:58:11.073841+00:00,2026-07-22 21:09:11.371277+00:00,claude-haiku-4-5-20251001
P3_D2_CURRENT__C1_target,gemini,C1_target,phase1_reused,42,2026-07-22 21:09:28.895706+00:00,2026-07-22 21:39:42.218056+00:00,gemini-3.1-flash-lite
P3_D2_CURRENT__C1_target,openai,C1_target,phase1_reused,42,2026-07-22 20:44:40.001900+00:00,2026-07-22 20:57:40.705115+00:00,gpt-5.6-terra
P3_D2_CURRENT__C2_metadata,anthropic,C2_metadata,phase2_new_call,42,2026-07-22 22:31:24.628987+00:00,2026-07-22 23:00:26.111541+00:00,claude-haiku-4-5-20251001
P3_D2_CURRENT__C2_metadata,gemini,C2_metadata,phase2_new_call,42,2026-07-22 23:00:46.320808+00:00,2026-07-23 22:40:23.813514+00:00,gemini-3.1-flash-lite
P3_D2_CURRENT__C2_metadata,openai,C2_metadata,phase2_new_call,42,2026-07-22 22:00:32.403632+00:00,2026-07-22 22:30:23.933307+00:00,gpt-5.6-terra
P3_D2_CURRENT__C3_plusminus1,anthropic,C3_plusminus1,phase2_new_call,42,2026-07-22 22:31:47.687739+00:00,2026-07-22 23:00:39.353073+00:00,claude-haiku-4-5-20251001
P3_D2_CURRENT__C3_plusminus1,gemini,C3_plusminus1,phase2_new_call,42,2026-07-22 23:01:22.579609+00:00,2026-07-23 22:40:38.144815+00:00,gemini-3.1-flash-lite
P3_D2_CURRENT__C3_plusminus1,openai,C3_plusminus1,phase2_new_call,42,2026-07-22 22:00:56.665789+00:00,2026-07-22 22:30:36.344353+00:00,gpt-5.6-terra
P3_D2_CURRENT__C4_plusminus2,anthropic,C4_plusminus2,phase2_new_call,42,2026-07-22 22:31:55.173074+00:00,2026-07-22 23:00:19.530982+00:00,claude-haiku-4-5-20251001
P3_D2_CURRENT__C4_plusminus2,gemini,C4_plusminus2,phase2_new_call,42,2026-07-22 23:01:28.634737+00:00,2026-07-23 22:40:17.942889+00:00,gemini-3.1-flash-lite
P3_D2_CURRENT__C4_plusminus2,openai,C4_plusminus2,phase2_new_call,42,2026-07-22 22:01:03.301529+00:00,2026-07-22 22:30:18.015079+00:00,gpt-5.6-terra
