provider,row_id,n_repeats,yes_repeats,no_repeats,repeat_agreement_share,changed_across_repeats
anthropic,P001,5,0,5,1.0,False
anthropic,P002,5,5,0,1.0,False
anthropic,P003,5,5,0,1.0,False
anthropic,P004,5,5,0,1.0,False
anthropic,P005,5,5,0,1.0,False
anthropic,P006,5,0,5,1.0,False
anthropic,P007,5,0,5,1.0,False
anthropic,P008,5,0,5,1.0,False
anthropic,P009,5,0,5,1.0,False
anthropic,P010,5,5,0,1.0,False
anthropic,P011,5,0,5,1.0,False
anthropic,P012,5,0,5,1.0,False
anthropic,P013,5,0,5,1.0,False
anthropic,P014,5,0,5,1.0,False
anthropic,P015,5,0,5,1.0,False
anthropic,P016,5,0,5,1.0,False
anthropic,P017,5,5,0,1.0,False
anthropic,P018,5,0,5,1.0,False
anthropic,P019,5,0,5,1.0,False
anthropic,P020,5,0,5,1.0,False
anthropic,P021,5,0,5,1.0,False
anthropic,P022,5,0,5,1.0,False
anthropic,P023,5,0,5,1.0,False
anthropic,P024,5,5,0,1.0,False
anthropic,P025,5,0,5,1.0,False
anthropic,P026,5,5,0,1.0,False
anthropic,P027,5,0,5,1.0,False
anthropic,P028,5,5,0,1.0,False
anthropic,P029,5,5,0,1.0,False
anthropic,P030,5,0,5,1.0,False
anthropic,P031,5,0,5,1.0,False
anthropic,P032,5,5,0,1.0,False
anthropic,P033,5,5,0,1.0,False
anthropic,P034,5,5,0,1.0,False
anthropic,P035,5,0,5,1.0,False
anthropic,P036,5,0,5,1.0,False
anthropic,P037,5,5,0,1.0,False
anthropic,P038,5,5,0,1.0,False
anthropic,P039,5,0,5,1.0,False
anthropic,P040,5,0,5,1.0,False
anthropic,P041,5,0,5,1.0,False
anthropic,P042,5,0,5,1.0,False
gemini,P001,5,0,5,1.0,False
gemini,P002,5,0,5,1.0,False
gemini,P003,5,0,5,1.0,False
gemini,P004,5,5,0,1.0,False
gemini,P005,5,5,0,1.0,False
gemini,P006,5,0,5,1.0,False
gemini,P007,5,0,5,1.0,False
gemini,P008,5,0,5,1.0,False
gemini,P009,5,5,0,1.0,False
gemini,P010,5,0,5,1.0,False
gemini,P011,5,5,0,1.0,False
gemini,P012,5,0,5,1.0,False
gemini,P013,5,0,5,1.0,False
gemini,P014,5,0,5,1.0,False
gemini,P015,5,0,5,1.0,False
gemini,P016,5,0,5,1.0,False
gemini,P017,5,5,0,1.0,False
gemini,P018,5,0,5,1.0,False
gemini,P019,5,0,5,1.0,False
gemini,P020,5,0,5,1.0,False
gemini,P021,5,0,5,1.0,False
gemini,P022,5,0,5,1.0,False
gemini,P023,5,0,5,1.0,False
gemini,P024,5,5,0,1.0,False
gemini,P025,5,0,5,1.0,False
gemini,P026,5,5,0,1.0,False
gemini,P027,5,0,5,1.0,False
gemini,P028,5,0,5,1.0,False
gemini,P029,5,0,5,1.0,False
gemini,P030,5,0,5,1.0,False
gemini,P031,5,0,5,1.0,False
gemini,P032,5,5,0,1.0,False
gemini,P033,5,5,0,1.0,False
gemini,P034,5,0,5,1.0,False
gemini,P035,5,0,5,1.0,False
gemini,P036,5,0,5,1.0,False
gemini,P037,5,5,0,1.0,False
gemini,P038,5,5,0,1.0,False
gemini,P039,5,0,5,1.0,False
gemini,P040,5,0,5,1.0,False
gemini,P041,5,5,0,1.0,False
gemini,P042,5,0,5,1.0,False
openai,P001,5,0,5,1.0,False
openai,P002,5,0,5,1.0,False
openai,P003,5,0,5,1.0,False
openai,P004,5,0,5,1.0,False
openai,P005,5,5,0,1.0,False
openai,P006,5,0,5,1.0,False
openai,P007,5,0,5,1.0,False
openai,P008,5,0,5,1.0,False
openai,P009,5,1,4,0.8,True
openai,P010,5,0,5,1.0,False
openai,P011,5,5,0,1.0,False
openai,P012,5,0,5,1.0,False
openai,P013,5,0,5,1.0,False
openai,P014,5,3,2,0.6,True
openai,P015,5,0,5,1.0,False
openai,P016,5,0,5,1.0,False
openai,P017,5,5,0,1.0,False
openai,P018,5,0,5,1.0,False
openai,P019,5,0,5,1.0,False
openai,P020,5,0,5,1.0,False
openai,P021,5,0,5,1.0,False
openai,P022,5,0,5,1.0,False
openai,P023,5,3,2,0.6,True
openai,P024,5,5,0,1.0,False
openai,P025,5,0,5,1.0,False
openai,P026,5,5,0,1.0,False
openai,P027,5,0,5,1.0,False
openai,P028,5,0,5,1.0,False
openai,P029,5,0,5,1.0,False
openai,P030,5,0,5,1.0,False
openai,P031,5,0,5,1.0,False
openai,P032,5,5,0,1.0,False
openai,P033,5,5,0,1.0,False
openai,P034,5,0,5,1.0,False
openai,P035,5,0,5,1.0,False
openai,P036,5,0,5,1.0,False
openai,P037,5,5,0,1.0,False
openai,P038,5,0,5,1.0,False
openai,P039,5,0,5,1.0,False
openai,P040,5,0,5,1.0,False
openai,P041,5,0,5,1.0,False
openai,P042,5,0,5,1.0,False
