table,filename,rows,columns,sha256
Config Summary,config_summary.csv,1,29,433230ad6ce96dd4c224fc5462cac899ebfe91508e1ef267ec85a978f6af5606
Models,models.csv,3,17,bb23f3e3306a7289e4b0de87eebba1d75ebfc0683887ea829f42bfe27a06e313
Definitions,definitions.csv,4,6,a4bde50f8cde42a3903b4629a25419671f5085b02e21abc716a682e8c3b345e3
Gold Availability,gold_availability.csv,4,4,0b1f6f43f45d6d09766850e04d05c61aca563ad1cb6e4ec532e19627ac9418fe
Benchmark Audit,benchmark_audit.csv,9,5,f7717320e493f475219ceb8796bdba454ad10b693a42ac7a162207b3cf241fc2
Context Availability,context_availability.csv,42,7,4f546367d289d53869c8e9040c2a3b1f2280b1b3ed2c84ba4fabfd373675ae12
Prompt Audit,prompt_audit.csv,7,12,eeff9682df941c0ed0089a47d14c734938de4450d229a51aa640fbc80e2bba7b
Phase1 Ranking,phase1_ranking.csv,7,22,52f8a5ecf0e60ed480f97c1f9bbf06612247be7051f39555879f2fb46bf3f107
Phase1 Provider,phase1_provider.csv,21,35,be992a59ed0d08de49cad5fb9babc3790e9bef1d0f80752018dc661d0cf58463
Phase1 Documents,phase1_documents.csv,63,32,85e53e807816425e68d3959dec71f687a8acd665c57ef853e2e052977985bf24
Phase1 Aligned,phase1_aligned.csv,21,33,ae7805ae4dfa475bd67de1e139fe7f9c6350e9f54065af5dff3f168eb9ee843c
Phase1 Tradeoff,phase1_tradeoff.csv,21,14,11f6ae5e39d709dca580e608864654d82eaa58e735598b44c971c246f66bf5bc
Phase1 EPA,phase1_epa.csv,21,33,ae7805ae4dfa475bd67de1e139fe7f9c6350e9f54065af5dff3f168eb9ee843c
Phase1 McNemar,phase1_mcnemar.csv,63,8,8ecab5dbc894a78471dca81efbb1d6d382252feda6fc67ee9197b85a3356d76f
Phase1 GEE,phase1_gee.csv,8,9,a15e09da0ee1d7ac51c2f6de349b2aabd9f7d5c067a88291228400e9156a4292
Definition Impact,definition_impact.csv,54,9,1bdfcbe43c07ba8845a2b28f9fe18db67d9c8eab69345f3200412fcb6dc123b4
D3 Boundary Cases,d3_boundary_cases.csv,43,15,3cd5c03a40bd27d044d5e55abf7eb7836a12997c6fc90eca72ae95459441092f
Phase2 Ranking,phase2_ranking.csv,8,22,78d7c4e7b646dd244df6d5fd00c183957c6d8eedbc964980fb8f572cc8c8f6cf
Phase2 Provider,phase2_provider.csv,24,35,b40e18926702162ce0cfd494d9239f187b67ed9768cd629427bdd5e5ee7ac527
Phase2 Documents,phase2_documents.csv,72,32,d646749ad89b39daebbc42589138149505773f11836a311b3e4378c0b78e76d9
Phase2 McNemar,phase2_mcnemar.csv,84,8,94e12945813bc1f2d89736bb7738f9f2fbb6ead26f3da52bf14c4687841d6e29
Phase2 GEE,phase2_gee.csv,8,9,dcf496dbcb12fa15257ceb1ad5b383e8613b365ca2db39035b3b32bfbfafb30b
Phase3 Ranking,phase3_ranking.csv,2,22,749340e1b0b3cf2844f254873f5cfaa38693dedcca011ecac080f702ced03de2
Phase3 Provider,phase3_provider.csv,6,35,9c12b66c7886ff613ec4e20a7e4bcdc93c0cef6e1c90a5074985445f18ff35ae
Phase3 Documents,phase3_documents.csv,18,32,21d18c1e0425e4c8640fe62d6400eb913cf3e95da6e7289384ab4595b6bb6dbd
Phase3 Targets,phase3_targets.csv,6,9,daae76b8fde45728264499c97856135d50ce4a5c24556e58c3046aaa6fd27af6
Phase3 McNemar,phase3_mcnemar.csv,3,8,4dd046273f32cf8bd665a26664c9051d0bc7f18b034f039de2a97c70034328f3
Phase3 GEE,phase3_gee.csv,4,9,afdefec04e051699545892d4b0fcf37e93da4dfd46b58d06a9c91a4d456cae5b
Stability Runs,stability_runs.csv,15,37,859866bdb08002e62712e0987da78cfdfc25c200602de1759089153418fb72ed
Stability Distribution,stability_distribution.csv,39,7,6740dd7e47e5b33b72af564452ee70f81a800b77ef91184edef8b0f76605063b
Provider Row Stability,provider_row_stability.csv,126,8,3e10c4f1defa0c64d25a3bb42191099066c392fb962b2dd69a347b16dd8be08b
Seed Pairwise,seed_pairwise.csv,30,6,51e831aacb0a1be8edefc838ef55f598031b69c0f9fbac89dddc3d73c269af98
Tiered Review,tiered_review.csv,210,15,c0ac5a08488a2c98b6f591fa23d89252e05097ea3065e2d0a15f0c026103db92
Tier Stability,tier_stability.csv,42,9,30fc4b88ec3e9df19869aa474ad45364b1cdaa42ac3fc2998cd273379f794f99
Reliability,reliability.csv,5,6,5f9e64ec5e58d47e3538a21661b2cd4e0b5e2c40ad057485a1f35a440424e471
Bootstrap CI,bootstrap_ci.csv,15,6,5bd12a9760b4cc0a16f3b04f9b64d5d0a7335f8704a91af3f04f66e2b365a0e2
Review Queue,review_queue.csv,42,19,2abb688dd8d111c2df538676c609ee8ded3bbf194e35b3e2f5440c57882d6c12
Completeness,completeness.csv,18,7,4e195d898b226f0d700b7b1c80978a0d78f7bd2e14834f57b44402c0feea2eec
