provider,metric,point_estimate,n_bootstrap,ci_2_5,ci_97_5
anthropic,accuracy,0.4523809523809524,2000,0.38571428571428573,0.5190476190476191
anthropic,recall_yes,0.375,2000,0.3032068896853843,0.45062636165577336
anthropic,specificity,0.7,2000,0.5599830508474577,0.8214285714285714
anthropic,f1_yes,0.5106382978723404,2000,0.42922276441883706,0.582995951417004
anthropic,mcc,0.06666666666666667,2000,-0.07175550825305749,0.18529122518292399
gemini,accuracy,0.5238095238095238,2000,0.45714285714285713,0.5904761904761905
gemini,recall_yes,0.375,2000,0.30303030303030304,0.4496810969376416
gemini,specificity,1.0,2000,1.0,1.0
gemini,f1_yes,0.5454545454545454,2000,0.46511627906976744,0.6203862252663621
gemini,mcc,0.3535533905932738,2000,0.29416507284254034,0.41413634747564465
openai,accuracy,0.46190476190476193,2000,0.3952380952380952,0.5238095238095238
openai,recall_yes,0.29375,2000,0.22698568507157463,0.3618421052631579
openai,specificity,1.0,2000,1.0,1.0
openai,f1_yes,0.45410628019323673,2000,0.3699891304347826,0.5314009661835749
openai,mcc,0.3001788832732746,2000,0.24260185216436986,0.3547874375934496
