phase,provider,stage,expected_tasks,expected_kind,successful_records,complete
phase1,openai,none,0,exact,0,True
phase1,anthropic,none,0,exact,0,True
phase1,gemini,none,0,exact,0,True
phase2,openai,joint,252,exact,252,True
phase2,anthropic,joint,252,exact,252,True
phase2,gemini,joint,252,exact,252,True
phase3,openai,binary,42,exact,42,True
phase3,openai,joint,42,exact,42,True
phase3,openai,target,42,ceiling,12,True
phase3,anthropic,binary,42,exact,42,True
phase3,anthropic,joint,42,exact,42,True
phase3,anthropic,target,42,ceiling,16,True
phase3,gemini,binary,42,exact,42,True
phase3,gemini,joint,42,exact,42,True
phase3,gemini,target,42,ceiling,12,True
stability,openai,joint,210,exact,210,True
stability,anthropic,joint,210,exact,210,True
stability,gemini,joint,210,exact,210,True
