provider,prompt_style,document_title,contrast,n_paired,no_to_yes,yes_to_no,unchanged_yes,unchanged_no
anthropic,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,0,3,5,6
anthropic,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,1,4,9
anthropic,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,4,4,6
anthropic,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,7,4,10
anthropic,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,6,0,4,11
anthropic,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,2,3,8,8
anthropic,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,0,2,2,3
anthropic,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,0,2,0,5
anthropic,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,4,0,3
anthropic,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,0,2,3,9
anthropic,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,1,2,11
anthropic,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,3,2,9
anthropic,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,4,8,9
anthropic,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,1,2,6,12
anthropic,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,0,5,7,9
anthropic,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,1,1,4,1
anthropic,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,1,3,2,1
anthropic,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,2,3,2
gemini,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,0,2,4,8
gemini,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,2,2,10
gemini,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,4,2,8
gemini,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,6,1,14
gemini,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,4,0,1,16
gemini,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,0,2,5,14
gemini,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,1,0,2,4
gemini,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,0,2,1,4
gemini,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,1,1,5
gemini,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,0,1,3,10
gemini,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,3,0,11
gemini,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,4,0,10
gemini,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,5,4,12
gemini,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,1,0,4,16
gemini,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,0,4,5,12
gemini,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,0,1,3,3
gemini,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,0,2,1,4
gemini,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,3,1,3
openai,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,0,2,4,8
openai,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,3,1,10
openai,P2_simple_definition,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,5,1,8
openai,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,9,2,10
openai,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,0,1,1,19
openai,P2_simple_definition,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,0,10,1,10
openai,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,0,6,1,0
openai,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,0,0,1,6
openai,P2_simple_definition,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,6,1,0
openai,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D2_current_strict,14,1,4,4,5
openai,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D2_current_strict -> D3_provisional_adaptive,14,0,5,0,9
openai,P3_evidence_checklist,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",D1_old_broad -> D3_provisional_adaptive,14,0,8,0,6
openai,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D2_current_strict,21,0,5,3,13
openai,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D2_current_strict -> D3_provisional_adaptive,21,0,2,1,18
openai,P3_evidence_checklist,Lessons Learned: EPA’s Response to Hurricane Katrina,D1_old_broad -> D3_provisional_adaptive,21,0,7,1,13
openai,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D2_current_strict,7,0,1,2,4
openai,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D2_current_strict -> D3_provisional_adaptive,7,0,1,1,5
openai,P3_evidence_checklist,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,D1_old_broad -> D3_provisional_adaptive,7,0,2,1,4
