condition_id,provider,definition_id,prompt_style,context_id,workflow,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_creation_input_tokens,estimated_cost_usd,mean_latency_seconds
P1_DIRECT__C1_target,anthropic,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.4791857142857143,1.0,0.9523809523809523,0.8976190476190476,66867,5541,0,0.0,0,0.09457199999999999,1.7252448411666246
P1_DIRECT__C1_target,gemini,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4504761904761906,1.0,0.9761904761904762,0.9476190476190476,22839,6934,4795,,0,0.016110749999999997,1.487315987023819
P1_DIRECT__C1_target,openai,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,8,34,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.5014738095238095,1.0,1.0,0.9211904761904761,37932,6158,1422,0.0,3438,0.18934875,2.218050627166655
P1_DIRECT__C2_metadata,anthropic,D0_none,P1_direct,C2_metadata,W1_one_stage,42,32,10,18,24,14,6,4,18,0.47619047619047616,0.51875,0.7777777777777778,0.4375,0.6,0.56,0.032274861218395144,0.025316455696202445,0.25,0.45174761904761906,1.0,0.9047619047619048,0.8819047619047621,69054,5515,0,0.0,0,0.09662899999999999,1.721059472404726
P1_DIRECT__C2_metadata,gemini,D0_none,P1_direct,C2_metadata,W1_one_stage,42,32,10,15,27,14,9,1,18,0.5476190476190477,0.66875,0.9333333333333333,0.4375,0.9,0.5957446808510638,0.3,0.21301775147929003,0.3333333333333333,0.42071428571428576,1.0,0.9761904761904762,0.9380952380952381,24863,6878,4231,,0,0.01653275,1.599636798166698
P1_DIRECT__C2_metadata,openai,D0_none,P1_direct,C2_metadata,W1_one_stage,42,32,10,9,33,9,10,0,23,0.4523809523809524,0.640625,1.0,0.28125,1.0,0.43902439024390244,0.2919371040605711,0.15706806282722507,0.30303030303030304,0.4837238095238094,1.0,0.9761904761904762,0.917142857142857,39776,7061,2210,0.0,7718,0.21017874999999997,2.344092468999926
P1_DIRECT__C3_plusminus1,anthropic,D0_none,P1_direct,C3_plusminus1,W1_one_stage,42,32,10,26,16,21,5,5,11,0.6190476190476191,0.578125,0.8076923076923077,0.65625,0.5,0.7241379310344828,0.13704031551672333,0.1295336787564766,0.3125,0.32468571428571424,1.0,0.8571428571428571,0.8628571428571429,79756,7283,0,0.0,0,0.116171,2.215403080261846
P1_DIRECT__C3_plusminus1,gemini,D0_none,P1_direct,C3_plusminus1,W1_one_stage,42,32,10,14,28,14,10,0,18,0.5714285714285714,0.71875,1.0,0.4375,1.0,0.6086956521739131,0.39528470752104744,0.2702702702702702,0.35714285714285715,0.4065476190476191,1.0,0.9761904761904762,0.9357142857142856,34826,7124,4703,,0,0.019392500000000003,1.681594038738095
P1_DIRECT__C3_plusminus1,openai,D0_none,P1_direct,C3_plusminus1,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.41915476190476186,1.0,0.9523809523809523,0.8897619047619049,49450,7230,2228,0.0,43442,0.25922625,2.443227730023799
P1_DIRECT__C4_plusminus2,anthropic,D0_none,P1_direct,C4_plusminus2,W1_one_stage,42,32,10,30,12,24,4,6,8,0.6666666666666666,0.575,0.8,0.75,0.4,0.7741935483870968,0.1414213562373095,0.14035087719298245,0.3333333333333333,0.27605714285714283,1.0,0.8333333333333334,0.8442857142857143,89530,7989,0,0.0,0,0.129475,2.211247382976299
