row_id,document_title,marker_count,target_marker_count,available_neighbor_count,duplicate_marker_count,context_target_similarity
P001,Lessons Learned: EPA’s Response to Hurricane Katrina,4,1,3,0,1.0
P002,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P003,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P004,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P005,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P006,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P007,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P008,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P009,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P010,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P011,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P012,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P013,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P014,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P015,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P016,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P017,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P018,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P019,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P020,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P021,Lessons Learned: EPA’s Response to Hurricane Katrina,5,1,4,0,1.0
P022,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",4,1,3,0,1.0
P023,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P024,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P025,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P026,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P027,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P028,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P029,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P030,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P031,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P032,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P033,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P034,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P035,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",5,1,4,0,1.0
P036,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P037,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P038,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P039,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P040,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P041,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
P042,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,5,1,4,0,1.0
