provider,condition_left,condition_right,left_only_correct,right_only_correct,discordant_pairs,mcnemar_exact_p,holm_adjusted_p
anthropic,P1_DIRECT,P2_D1_OLD,1,7,8,0.0703125,1.0
anthropic,P1_DIRECT,P2_D2_CURRENT,2,2,4,1.0,1.0
anthropic,P1_DIRECT,P2_D3_ADAPTIVE,4,5,9,1.0,1.0
anthropic,P1_DIRECT,P3_D1_OLD,6,11,17,0.332305908203125,1.0
anthropic,P1_DIRECT,P3_D2_CURRENT,4,9,13,0.266845703125,1.0
anthropic,P1_DIRECT,P3_D3_ADAPTIVE,8,9,17,1.0,1.0
anthropic,P2_D1_OLD,P2_D2_CURRENT,9,3,12,0.14599609375,1.0
anthropic,P2_D1_OLD,P2_D3_ADAPTIVE,9,4,13,0.266845703125,1.0
anthropic,P2_D1_OLD,P3_D1_OLD,7,6,13,1.0,1.0
anthropic,P2_D1_OLD,P3_D2_CURRENT,7,6,13,1.0,1.0
anthropic,P2_D1_OLD,P3_D3_ADAPTIVE,12,7,19,0.359283447265625,1.0
anthropic,P2_D2_CURRENT,P2_D3_ADAPTIVE,4,5,9,1.0,1.0
anthropic,P2_D2_CURRENT,P3_D1_OLD,5,10,15,0.30175781249999994,1.0
anthropic,P2_D2_CURRENT,P3_D2_CURRENT,3,8,11,0.2265625,1.0
anthropic,P2_D2_CURRENT,P3_D3_ADAPTIVE,7,8,15,1.0,1.0
anthropic,P2_D3_ADAPTIVE,P3_D1_OLD,5,9,14,0.4239501953125,1.0
anthropic,P2_D3_ADAPTIVE,P3_D2_CURRENT,4,8,12,0.3876953125,1.0
anthropic,P2_D3_ADAPTIVE,P3_D3_ADAPTIVE,6,6,12,1.0,1.0
anthropic,P3_D1_OLD,P3_D2_CURRENT,4,4,8,1.0,1.0
anthropic,P3_D1_OLD,P3_D3_ADAPTIVE,7,3,10,0.34375,1.0
anthropic,P3_D2_CURRENT,P3_D3_ADAPTIVE,6,2,8,0.2890625,1.0
gemini,P1_DIRECT,P2_D1_OLD,3,2,5,1.0,1.0
gemini,P1_DIRECT,P2_D2_CURRENT,4,0,4,0.125,1.0
gemini,P1_DIRECT,P2_D3_ADAPTIVE,5,1,6,0.21875,1.0
gemini,P1_DIRECT,P3_D1_OLD,3,4,7,1.0,1.0
gemini,P1_DIRECT,P3_D2_CURRENT,3,1,4,0.625,1.0
gemini,P1_DIRECT,P3_D3_ADAPTIVE,7,1,8,0.0703125,1.0
gemini,P2_D1_OLD,P2_D2_CURRENT,6,3,9,0.5078125,1.0
gemini,P2_D1_OLD,P2_D3_ADAPTIVE,5,2,7,0.453125,1.0
gemini,P2_D1_OLD,P3_D1_OLD,3,5,8,0.7265625,1.0
gemini,P2_D1_OLD,P3_D2_CURRENT,4,3,7,1.0,1.0
gemini,P2_D1_OLD,P3_D3_ADAPTIVE,7,2,9,0.1796875,1.0
gemini,P2_D2_CURRENT,P2_D3_ADAPTIVE,4,4,8,1.0,1.0
gemini,P2_D2_CURRENT,P3_D1_OLD,3,8,11,0.2265625,1.0
gemini,P2_D2_CURRENT,P3_D2_CURRENT,1,3,4,0.625,1.0
gemini,P2_D2_CURRENT,P3_D3_ADAPTIVE,6,4,10,0.75390625,1.0
gemini,P2_D3_ADAPTIVE,P3_D1_OLD,3,8,11,0.2265625,1.0
gemini,P2_D3_ADAPTIVE,P3_D2_CURRENT,2,4,6,0.6875,1.0
gemini,P2_D3_ADAPTIVE,P3_D3_ADAPTIVE,2,0,2,0.5,1.0
gemini,P3_D1_OLD,P3_D2_CURRENT,5,2,7,0.453125,1.0
gemini,P3_D1_OLD,P3_D3_ADAPTIVE,9,2,11,0.0654296875,1.0
gemini,P3_D2_CURRENT,P3_D3_ADAPTIVE,5,1,6,0.21875,1.0
openai,P1_DIRECT,P2_D1_OLD,4,12,16,0.076812744140625,1.0
openai,P1_DIRECT,P2_D2_CURRENT,1,0,1,1.0,1.0
openai,P1_DIRECT,P2_D3_ADAPTIVE,5,0,5,0.0625,1.0
openai,P1_DIRECT,P3_D1_OLD,4,9,13,0.266845703125,1.0
openai,P1_DIRECT,P3_D2_CURRENT,3,5,8,0.7265625,1.0
openai,P1_DIRECT,P3_D3_ADAPTIVE,8,2,10,0.109375,1.0
openai,P2_D1_OLD,P2_D2_CURRENT,13,4,17,0.049041748046875,1.0
openai,P2_D1_OLD,P2_D3_ADAPTIVE,17,4,21,0.007197380065917969,0.44623756408691406
openai,P2_D1_OLD,P3_D1_OLD,8,5,13,0.5810546875,1.0
openai,P2_D1_OLD,P3_D2_CURRENT,12,6,18,0.237884521484375,1.0
openai,P2_D1_OLD,P3_D3_ADAPTIVE,18,4,22,0.004343509674072266,0.27364110946655273
openai,P2_D2_CURRENT,P2_D3_ADAPTIVE,4,0,4,0.125,1.0
openai,P2_D2_CURRENT,P3_D1_OLD,4,10,14,0.1795654296875,1.0
openai,P2_D2_CURRENT,P3_D2_CURRENT,3,6,9,0.5078125,1.0
openai,P2_D2_CURRENT,P3_D3_ADAPTIVE,7,2,9,0.1796875,1.0
openai,P2_D3_ADAPTIVE,P3_D1_OLD,4,14,18,0.0308837890625,1.0
openai,P2_D3_ADAPTIVE,P3_D2_CURRENT,1,8,9,0.0390625,1.0
openai,P2_D3_ADAPTIVE,P3_D3_ADAPTIVE,3,2,5,1.0,1.0
openai,P3_D1_OLD,P3_D2_CURRENT,7,4,11,0.548828125,1.0
openai,P3_D1_OLD,P3_D3_ADAPTIVE,14,3,17,0.012725830078125,0.7635498046875
openai,P3_D2_CURRENT,P3_D3_ADAPTIVE,8,0,8,0.0078125,0.4765625
