condition_id,provider,document_title,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_creation_input_tokens,estimated_cost_usd,mean_latency_seconds
P1_DIRECT__C1_target,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,7,7,5,2,2,5,0.5,0.5,0.7142857142857143,0.5,0.5,0.5882352941176471,0.0,0.0,0.2857142857142857,0.4091714285714286,1.0,1.0,0.8714285714285712,22869,2045,0,0.0,0,0.033094,2.0497191867142255
P1_DIRECT__C1_target,anthropic,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,6,15,5,4,1,11,0.42857142857142855,0.55625,0.8333333333333334,0.3125,0.8,0.45454545454545453,0.10606601717798213,0.06666666666666665,0.26666666666666666,0.5101904761904762,1.0,0.9047619047619048,0.9104761904761903,33141,2647,0,0.0,0,0.046376,1.5668043467618689
P1_DIRECT__C1_target,anthropic,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,2,5,2,1,0,4,0.42857142857142855,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.2581988897471611,0.125,0.2,0.5262,1.0,1.0,0.9114285714285714,10857,849,0,0.0,0,0.015102,1.5516176332856892
P1_DIRECT__C1_target,gemini,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.39749999999999996,1.0,1.0,0.9500000000000001,8151,2439,1932,,0,0.00569625,1.3607268877142846
P1_DIRECT__C1_target,gemini,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,5,16,5,5,0,11,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.5091666666666667,1.0,0.9523809523809523,0.9547619047619048,11148,3349,2182,,0,0.0078105,1.6360361474285778
P1_DIRECT__C1_target,gemini,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,3,4,3,1,0,3,0.5714285714285714,0.75,1.0,0.5,1.0,0.6666666666666666,0.3535533905932738,0.2222222222222221,0.25,0.3803571428571428,1.0,1.0,0.9214285714285715,3540,1146,681,,0,0.002604,1.2943337044286116
P1_DIRECT__C1_target,openai,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,4,10,4,4,0,6,0.5714285714285714,0.7,1.0,0.4,1.0,0.5714285714285714,0.4,0.27586206896551735,0.4,0.3807285714285714,1.0,1.0,0.9114285714285714,13177,2415,788,0.0,2371,0.070649375,2.691999864785722
P1_DIRECT__C1_target,openai,Lessons Learned: EPA’s Response to Hurricane Katrina,21,16,5,3,18,3,5,0,13,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.2777777777777778,0.5471333333333332,1.0,1.0,0.9266666666666667,18693,2884,532,0.0,1067,0.090659375,2.0872878071904726
P1_DIRECT__C1_target,openai,The Katrina Effect on American Preparedness — A report on the lessons Americans learned in watching the Katrina catastrophe unfold,7,6,1,1,6,1,1,0,5,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.05405405405405417,0.16666666666666666,0.6059857142857143,1.0,1.0,0.9242857142857144,6062,859,102,0.0,0,0.02804,1.6624406118570667
P1_DIRECT__C2_metadata,anthropic,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",14,10,4,6,8,4,2,2,6,0.42857142857142855,0.45,0.6666666666666666,0.4,0.5,0.5,-0.09128709291752768,-0.07692307692307687,0.25,0.4701785714285714,1.0,1.0,0.8835714285714283,23745,1762,0,0.0,0,0.032555,1.915252594071522
