provider,seed_left,seed_right,n_rows,percent_agreement,cohen_kappa
anthropic,17,43,42,1.0,1.0
anthropic,17,101,42,1.0,1.0
anthropic,17,211,42,1.0,1.0
anthropic,17,307,42,1.0,1.0
anthropic,43,101,42,1.0,1.0
anthropic,43,211,42,1.0,1.0
anthropic,43,307,42,1.0,1.0
anthropic,101,211,42,1.0,1.0
anthropic,101,307,42,1.0,1.0
anthropic,211,307,42,1.0,1.0
gemini,17,43,42,1.0,1.0
gemini,17,101,42,1.0,1.0
gemini,17,211,42,1.0,1.0
gemini,17,307,42,1.0,1.0
gemini,43,101,42,1.0,1.0
gemini,43,211,42,1.0,1.0
gemini,43,307,42,1.0,1.0
gemini,101,211,42,1.0,1.0
gemini,101,307,42,1.0,1.0
gemini,211,307,42,1.0,1.0
openai,17,43,42,1.0,1.0
openai,17,101,42,0.9285714285714286,0.7961165048543689
openai,17,211,42,0.9523809523809523,0.8590604026845637
openai,17,307,42,1.0,1.0
openai,43,101,42,0.9285714285714286,0.7961165048543689
openai,43,211,42,0.9523809523809523,0.8590604026845637
openai,43,307,42,1.0,1.0
openai,101,211,42,0.9761904761904762,0.9263157894736842
openai,101,307,42,0.9285714285714286,0.7961165048543689
openai,211,307,42,0.9523809523809523,0.8590604026845637
