provider,seed,repeat_id,condition_id,definition_id,prompt_style,context_id,workflow,n_scored,human_yes,human_no,pred_yes,pred_no,tp,tn,fp,fn,accuracy,balanced_accuracy,precision_yes,recall_yes,specificity,f1_yes,mcc,cohen_kappa,npv,brier_score,schema_valid_rate,evidence_valid_rate,mean_confidence,input_tokens,output_tokens,reasoning_tokens,cached_input_tokens,cache_creation_input_tokens,estimated_cost_usd,mean_latency_seconds
anthropic,17,seed_17_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.4785642857142858,1.0,0.9523809523809523,0.8954761904761906,66867,5486,0,0.0,0,0.094297,1.634725491595234
anthropic,43,seed_43_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.478802380952381,1.0,0.9523809523809523,0.8992857142857144,66867,5531,0,0.0,0,0.09452199999999998,1.6176019563095105
anthropic,101,seed_101_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.47833095238095236,1.0,0.9523809523809523,0.8930952380952382,66867,5540,0,0.0,0,0.094567,1.785151062642821
anthropic,211,seed_211_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.47928095238095236,1.0,0.9523809523809523,0.8985714285714286,66867,5493,0,0.0,0,0.09433200000000001,1.631881283095178
anthropic,307,seed_307_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,15,27,12,7,3,20,0.4523809523809524,0.5375,0.8,0.375,0.7,0.5106382978723404,0.06666666666666667,0.047337278106509006,0.25925925925925924,0.4791333333333333,1.0,0.9523809523809523,0.8995238095238095,66867,5472,0,0.0,0,0.094227,1.7575174801428755
gemini,17,seed_17_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.4504761904761906,1.0,0.9761904761904762,0.9476190476190476,22839,6934,4795,,0,0.016110749999999997,1.2165200459047854
gemini,43,seed_43_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.45047619047619053,1.0,0.9761904761904762,0.9476190476190476,22839,6934,4795,,0,0.01611075,1.3554508607143188
gemini,101,seed_101_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.45047619047619053,1.0,0.9761904761904762,0.9476190476190476,22839,6934,4795,,0,0.01611075,1.2134261298571498
gemini,211,seed_211_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.45047619047619053,1.0,0.9761904761904762,0.9476190476190476,22839,6934,4795,,0,0.01611075,1.221770385738128
gemini,307,seed_307_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,12,30,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.3333333333333333,0.45047619047619053,1.0,0.9761904761904762,0.9476190476190474,22839,6934,4795,,0,0.01611075,2.2381427627142547
openai,17,seed_17_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.4775833333333333,1.0,0.9761904761904762,0.9140476190476191,37932,6517,1887,3438.0,0,0.1848495,2.476425268809543
openai,43,seed_43_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.4746571428571429,1.0,0.9761904761904762,0.9261904761904763,37932,6311,1571,3438.0,0,0.18175950000000002,1.901526901476202
openai,101,seed_101_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,9,33,9,10,0,23,0.4523809523809524,0.640625,1.0,0.28125,1.0,0.43902439024390244,0.2919371040605711,0.15706806282722507,0.30303030303030304,0.492997619047619,1.0,0.9761904761904762,0.9192857142857143,37932,6594,1893,3438.0,0,0.1860045,2.102432450238103
openai,211,seed_211_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,8,34,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.29411764705882354,0.49683333333333335,1.0,0.9047619047619048,0.9180952380952382,37932,6328,1612,3438.0,0,0.18201450000000002,2.465251035880967
openai,307,seed_307_r1,FINALIST_STABILITY,D0_none,P1_direct,C1_target,W1_one_stage,42,32,10,10,32,10,10,0,22,0.47619047619047616,0.65625,1.0,0.3125,1.0,0.47619047619047616,0.3125,0.1779359430604981,0.3125,0.4751785714285714,1.0,0.9285714285714286,0.9211904761904761,37932,6224,1550,3438.0,0,0.1804545,2.647294432333367
