bin,n,mean_probability,observed_positive_rate,absolute_gap,provider,model,condition_id,definition_id,prompt_style,label_space,seed
"(-0.001, 0.1]",0,,,,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.1, 0.2]",3,0.15,0.6666666666666666,0.5166666666666666,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.2, 0.3]",9,0.2588888888888889,0.6666666666666666,0.40777777777777774,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.3, 0.4]",0,,,,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.4, 0.5]",0,,,,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.5, 0.6]",0,,,,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.6, 0.7]",3,0.65,1.0,0.35,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.7, 0.8]",23,0.75,0.8260869565217391,0.07608695652173914,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.8, 0.9]",4,0.85,0.5,0.35,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(0.9, 1.0]",0,,,,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
"(-0.001, 0.1]",3,0.07,0.6666666666666666,0.5966666666666667,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.1, 0.2]",6,0.15,0.8333333333333334,0.6833333333333333,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.2, 0.3]",12,0.255,0.6666666666666666,0.4116666666666666,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.3, 0.4]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.4, 0.5]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.5, 0.6]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.6, 0.7]",1,0.65,1.0,0.35,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.7, 0.8]",16,0.75,0.75,0.0,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.8, 0.9]",1,0.85,1.0,0.15000000000000002,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.9, 1.0]",3,0.94,1.0,0.06000000000000005,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(-0.001, 0.1]",5,0.062,0.8,0.738,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.1, 0.2]",3,0.15,1.0,0.85,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.2, 0.3]",13,0.2569230769230769,0.5384615384615384,0.2815384615384615,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.3, 0.4]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.4, 0.5]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.5, 0.6]",0,,,,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.6, 0.7]",3,0.65,1.0,0.35,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.7, 0.8]",12,0.75,0.75,0.0,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.8, 0.9]",3,0.85,1.0,0.15000000000000002,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(0.9, 1.0]",3,0.9499999999999998,1.0,0.050000000000000155,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
"(-0.001, 0.1]",5,0.074,0.8,0.7260000000000001,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.1, 0.2]",3,0.15,0.6666666666666666,0.5166666666666666,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.2, 0.3]",20,0.259,0.65,0.391,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.3, 0.4]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.4, 0.5]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.5, 0.6]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.6, 0.7]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.7, 0.8]",11,0.75,0.9090909090909091,0.15909090909090906,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.8, 0.9]",1,0.85,1.0,0.15000000000000002,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(0.9, 1.0]",2,0.92,1.0,0.07999999999999996,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
"(-0.001, 0.1]",7,0.07142857142857142,0.8571428571428571,0.7857142857142857,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.1, 0.2]",4,0.15,0.5,0.35,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.2, 0.3]",20,0.262,0.7,0.43799999999999994,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.3, 0.4]",1,0.35,1.0,0.65,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.4, 0.5]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.5, 0.6]",0,,,,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.6, 0.7]",1,0.65,0.0,0.65,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.7, 0.8]",6,0.75,1.0,0.25,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.8, 0.9]",2,0.85,1.0,0.15000000000000002,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(0.9, 1.0]",1,0.95,1.0,0.050000000000000044,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
"(-0.001, 0.1]",15,0.07,0.6666666666666666,0.5966666666666667,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.1, 0.2]",12,0.15416666666666665,0.6666666666666666,0.5125,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.2, 0.3]",0,,,,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.3, 0.4]",0,,,,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.4, 0.5]",0,,,,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.5, 0.6]",0,,,,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.6, 0.7]",5,0.69,0.8,0.1100000000000001,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.7, 0.8]",6,0.8000000000000002,1.0,0.19999999999999984,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.8, 0.9]",3,0.9,1.0,0.09999999999999998,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(0.9, 1.0]",1,0.95,1.0,0.050000000000000044,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
"(-0.001, 0.1]",25,0.064,0.64,0.5760000000000001,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.1, 0.2]",4,0.15,0.75,0.6,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.2, 0.3]",0,,,,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.3, 0.4]",0,,,,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.4, 0.5]",0,,,,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.5, 0.6]",0,,,,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.6, 0.7]",0,,,,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.7, 0.8]",6,0.8000000000000002,1.0,0.19999999999999984,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.8, 0.9]",4,0.9,1.0,0.09999999999999998,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(0.9, 1.0]",3,0.9499999999999998,1.0,0.050000000000000155,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
"(-0.001, 0.1]",24,0.06958333333333334,0.7083333333333334,0.63875,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
