condition_id,seed,coverage,n_automated,accuracy,f1,mean_uncertainty
P1_DIRECT,17,0.1,5,0.4,0.4,0.4490553830889574
P1_DIRECT,17,0.2,9,0.6666666666666666,0.7272727272727273,0.5204035611797928
P1_DIRECT,17,0.30000000000000004,13,0.6923076923076923,0.75,0.5560422131247542
P1_DIRECT,17,0.4,17,0.5882352941176471,0.631578947368421,0.5961135125492442
P1_DIRECT,17,0.5,21,0.6190476190476191,0.6923076923076923,0.640897853822963
P1_DIRECT,17,0.6,26,0.5769230769230769,0.6451612903225806,0.6938567449679964
P1_DIRECT,17,0.7000000000000001,30,0.5333333333333333,0.6111111111111112,0.7272745244147052
P1_DIRECT,17,0.8,34,0.5588235294117647,0.6341463414634146,0.7552295350105449
P1_DIRECT,17,0.9,38,0.5526315789473685,0.6222222222222222,0.7794883790489867
P1_DIRECT,17,1.0,42,0.5476190476190477,0.6122448979591837,0.8003626821544917
P2_D1_OLD,17,0.1,5,0.4,0.4,0.28773720101620165
P2_D1_OLD,17,0.2,9,0.3333333333333333,0.4,0.32659273213303536
P2_D1_OLD,17,0.30000000000000004,13,0.38461538461538464,0.3333333333333333,0.36963017569218903
P2_D1_OLD,17,0.4,17,0.47058823529411764,0.4,0.41632746641858365
P2_D1_OLD,17,0.5,21,0.5238095238095238,0.5,0.47184166070905514
P2_D1_OLD,17,0.6,26,0.5384615384615384,0.5,0.5436542661875298
P2_D1_OLD,17,0.7000000000000001,30,0.5,0.4444444444444444,0.5906079397977771
P2_D1_OLD,17,0.8,34,0.5294117647058824,0.5,0.6315178700626316
P2_D1_OLD,17,0.9,38,0.5263157894736842,0.5263157894736842,0.6670506595657432
P2_D1_OLD,17,1.0,42,0.5476190476190477,0.5777777777777777,0.6979727331278184
P2_D2_CURRENT,17,0.1,5,0.6,0.6666666666666666,0.2289149732329628
P2_D2_CURRENT,17,0.2,9,0.4444444444444444,0.5454545454545454,0.2716875253093846
P2_D2_CURRENT,17,0.30000000000000004,13,0.46153846153846156,0.46153846153846156,0.32956386868975585
P2_D2_CURRENT,17,0.4,17,0.5294117647058824,0.42857142857142855,0.38783200196054746
P2_D2_CURRENT,17,0.5,21,0.5238095238095238,0.4444444444444444,0.4381006380341591
P2_D2_CURRENT,17,0.6,26,0.46153846153846156,0.36363636363636365,0.5065162868458518
P2_D2_CURRENT,17,0.7000000000000001,30,0.43333333333333335,0.32,0.5611835605472358
P2_D2_CURRENT,17,0.8,34,0.4117647058823529,0.3333333333333333,0.605800162079074
P2_D2_CURRENT,17,0.9,38,0.4473684210526316,0.43243243243243246,0.6441331633793114
P2_D2_CURRENT,17,1.0,42,0.5,0.5116279069767442,0.6773560106627912
P3_D1_OLD,17,0.1,5,0.4,0.4,0.2372858977002225
P3_D1_OLD,17,0.2,9,0.4444444444444444,0.4444444444444444,0.2957173058211455
P3_D1_OLD,17,0.30000000000000004,13,0.46153846153846156,0.36363636363636365,0.35209471582925117
P3_D1_OLD,17,0.4,17,0.5294117647058824,0.3333333333333333,0.40081981896914126
P3_D1_OLD,17,0.5,21,0.47619047619047616,0.26666666666666666,0.4405197322533435
P3_D1_OLD,17,0.6,26,0.46153846153846156,0.3,0.4934746318449485
P3_D1_OLD,17,0.7000000000000001,30,0.43333333333333335,0.2608695652173913,0.5426227806120015
P3_D1_OLD,17,0.8,34,0.4117647058823529,0.2857142857142857,0.5838132092053137
P3_D1_OLD,17,0.9,38,0.4473684210526316,0.4,0.6232438219137192
P3_D1_OLD,17,1.0,42,0.4523809523809524,0.43902439024390244,0.6578859410879124
P3_D2_CURRENT,17,0.1,5,0.4,0.4,0.23888092352946266
P3_D2_CURRENT,17,0.2,9,0.2222222222222222,0.2222222222222222,0.2793503053079851
P3_D2_CURRENT,17,0.30000000000000004,13,0.38461538461538464,0.3333333333333333,0.3215073266139824
P3_D2_CURRENT,17,0.4,17,0.4117647058823529,0.2857142857142857,0.3658045394083125
P3_D2_CURRENT,17,0.5,21,0.42857142857142855,0.3333333333333333,0.39920739991673215
P3_D2_CURRENT,17,0.6,26,0.46153846153846156,0.3,0.4380532269906442
P3_D2_CURRENT,17,0.7000000000000001,30,0.4,0.25,0.47853257053535053
P3_D2_CURRENT,17,0.8,34,0.38235294117647056,0.2222222222222222,0.5263293569509522
P3_D2_CURRENT,17,0.9,38,0.34210526315789475,0.1935483870967742,0.5675870878130677
P3_D2_CURRENT,17,1.0,42,0.35714285714285715,0.2702702702702703,0.6058936436402655
