condition_id,definition_id,prompt_style,label_space,seed,row_id,document,gold_binary,gold_binary_old,gold_binary_new,gold_target_new,gold_pillar_old,gold_depth_old,gold_nature_old,provider,model,requested_model,resolved_model,status,provider_count,providers_present,p_unlearning_yes,p_unlearning_no,raw_probability_prediction,direct_selected_prediction,selected_unlearning_binary,evidence_mean,evidence_min,evidence_geomean,p_target__leadership_given_yes,p_joint_target__leadership,p_target__laws_plans_policies_given_yes,p_joint_target__laws_plans_policies,p_target__capabilities_given_yes,p_joint_target__capabilities,p_target__funds_resources_given_yes,p_joint_target__funds_resources,p_target__misc_organizational_given_yes,p_joint_target__misc_organizational,p_joint_target__none,argmax_target_conditional,argmax_target_joint,p_pillar__reconsidering_epistemic_given_yes,p_joint_pillar__reconsidering_epistemic,p_pillar__discarding_normative_given_yes,p_joint_pillar__discarding_normative,p_pillar__realignment_technical_given_yes,p_joint_pillar__realignment_technical,p_pillar__merging_integrative_given_yes,p_joint_pillar__merging_integrative,p_joint_pillar__none,argmax_pillar_conditional,argmax_pillar_joint,p_depth__low_depth_given_yes,p_joint_depth__low_depth,p_depth__moderate_depth_given_yes,p_joint_depth__moderate_depth,p_depth__high_depth_given_yes,p_joint_depth__high_depth,p_joint_depth__none,argmax_depth_conditional,argmax_depth_joint,p_nature__normative_nature_given_yes,p_joint_nature__normative_nature,p_nature__technical_nature_given_yes,p_joint_nature__technical_nature,p_joint_nature__none,argmax_nature_conditional,argmax_nature_joint
P1_DIRECT,D0_none,P1_direct,new,17,P001,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0,0,none,none,none,none,ensemble_arithmetic_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.5766666666666667,0.42333333333333334,1,1,1,,,,0.2866666666666667,0.16531111111111113,0.16,0.09226666666666666,0.38999999999999996,0.22489999999999996,0.043333333333333335,0.02498888888888889,0.12,0.0692,0.42333333333333334,capabilities,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P001,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0,0,none,none,none,none,ensemble_logit_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.5821342441220552,0.41786575587794483,1,1,1,,,,0.2866666666666667,0.16687848331498917,0.16,0.09314147905952883,0.38999999999999996,0.22703235520760148,0.043333333333333335,0.025225817245289057,0.12,0.06985610929464661,0.41786575587794483,capabilities,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P002,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0,0,none,none,none,none,ensemble_arithmetic_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.3433333333333333,0.6566666666666667,0,0,0,,,,0.23,0.07896666666666667,0.21,0.0721,0.31666666666666665,0.10872222222222222,0.05000000000000001,0.01716666666666667,0.19333333333333336,0.06637777777777779,0.6566666666666667,capabilities,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P002,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0,0,none,none,none,none,ensemble_logit_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.29491040960645626,0.7050895903935437,0,0,0,,,,0.23,0.06782939420948494,0.21,0.06193118601735581,0.31666666666666665,0.09338829637537781,0.05000000000000001,0.014745520480322816,0.19333333333333336,0.05701601252391488,0.7050895903935437,capabilities,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P003,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_arithmetic_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.3566666666666667,0.6433333333333333,0,0,0,,,,0.26,0.09273333333333335,0.10666666666666667,0.03804444444444445,0.21,0.07490000000000001,0.08,0.028533333333333334,0.3433333333333333,0.12245555555555555,0.6433333333333333,misc_organizational,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P003,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_logit_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.3228863612050289,0.6771136387949711,0,0,0,,,,0.26,0.08395045391330752,0.10666666666666667,0.03444121186186975,0.21,0.06780613585305606,0.08,0.025830908896402313,0.3433333333333333,0.11085765068039324,0.6771136387949711,misc_organizational,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P004,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_arithmetic_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.84,0.16000000000000003,1,1,1,,,,0.24333333333333335,0.2044,0.25000000000000006,0.21000000000000005,0.37,0.31079999999999997,0.08000000000000002,0.06720000000000001,0.05666666666666668,0.04760000000000001,0.16000000000000003,capabilities,capabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P004,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_logit_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.8794255790664165,0.1205744209335835,1,1,1,,,,0.24333333333333335,0.21399355757282804,0.25000000000000006,0.21985639476660418,0.37,0.3253874642545741,0.08000000000000002,0.07035404632531334,0.05666666666666668,0.049834116147096943,0.1205744209335835,capabilities,capabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P005,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_arithmetic_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.8433333333333334,0.15666666666666662,1,1,1,,,,0.09333328333338332,0.07871106894448661,0.40999981666685,0.3457665120557102,0.36999991666675003,0.3120332630556259,0.09333331666668332,0.0787110970555696,0.033333666666333334,0.028111392221941114,0.15666666666666662,laws_plans_policies,laws_plans_policies,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1_DIRECT,D0_none,P1_direct,new,17,P005,Lessons Learned: EPA’s Response to Hurricane Katrina,1,1,1,,,,,ensemble_logit_mean,anthropic+gemini+openai,provider_ensemble,provider_ensemble,ok,3,anthropic|gemini|openai,0.8535544534474652,0.14644554655253483,1,1,1,,,,0.09333328333338332,0.07966503964408342,0.40999981666685,0.34995716942863403,0.36999991666675003,0.3158150766460955,0.09333331666668332,0.07966506809587007,0.033333666666333334,0.028452099632782137,0.14644554655253483,laws_plans_policies,laws_plans_policies,,,,,,,,,,,,,,,,,,,,,,,,,,,
