provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability,selection_status
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.23549917589897862,1.2108212425231961,0.14132648299319733,0.38125,0.7285714285714285,0.7508502925170067,exploratory_best_on_same_benchmark
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.1882410171091866,0.5737653822452431,0.10097184649011112,0.54375,0.788839052470518,0.769157880782616,exploratory_best_on_same_benchmark
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18464632633733044,0.5461761930673545,0.13716159251859258,0.609375,0.8383938365556012,0.7360069056499056,exploratory_best_on_same_benchmark
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.20630946712537498,0.8668196052842004,0.15782103716743615,0.515625,0.7723398109243698,0.7318846547093144,exploratory_best_on_same_benchmark
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,platt_0.5,42,32,10,24,2,8,8,0.6190476190476191,0.475,0.75,0.75,0.2,0.75,-0.05,-0.050000000000000044,0.7619047619047619,0.23162824497291512,0.6595129328669587,0.2106179099182036,0.5234375,0.8037011489600738,0.6748299305343356,exploratory_best_on_same_benchmark
ensemble_arithmetic_mean,anthropic+gemini+openai,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.2663838904672522,1.7957059077676276,0.22588382564102574,0.5984375000000001,0.8590365134719973,0.705737571978022,exploratory_best_on_same_benchmark
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,platt_0.5,42,32,10,22,4,6,10,0.6190476190476191,0.54375,0.7857142857142857,0.6875,0.4,0.7333333333333333,0.07905694150420949,0.07692307692307687,0.6666666666666666,0.2873822630713298,0.8471141545200934,0.25223706761046527,0.63125,0.8801103666434731,0.5938574383010522,exploratory_best_on_same_benchmark
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,24,3,7,8,0.6428571428571429,0.525,0.7741935483870968,0.75,0.3,0.7619047619047619,0.04843594796964828,0.048338368580060465,0.7380952380952381,0.3099784539619098,3.5031651920214997,0.29762571344264205,0.6453125,0.8433728448275862,0.6309595229664515,exploratory_best_on_same_benchmark
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,isotonic_tuned_threshold,42,32,10,21,6,4,11,0.6428571428571429,0.628125,0.84,0.65625,0.6,0.7368421052631579,0.22235371926412256,0.20654911838790935,0.5952380952380952,0.39076803542465466,4.250586133072652,0.40836577083156483,0.640625,0.8633682893193761,0.5764337568259627,exploratory_best_on_same_benchmark
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,stacked_logistic_tuned_threshold,42,32,10,20,8,2,12,0.6666666666666666,0.7125,0.9090909090909091,0.625,0.8,0.7407407407407407,0.3624412178045377,0.3162790697674418,0.5238095238095238,0.27155438251691233,0.757947903472567,0.27969829402252144,0.6124999999999999,0.8776968811312591,0.6201078517935261,exploratory_best_on_same_benchmark
ensemble_logit_mean,anthropic+gemini+openai,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.28312364225412595,1.628973418708183,0.26533031274566204,0.5984375000000001,0.8505280337759054,0.696130748301414,exploratory_best_on_same_benchmark
ensemble_logit_mean,anthropic+gemini+openai,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,evidence_gate_tuned,42,32,10,21,8,2,11,0.6904761904761905,0.728125,0.9130434782608695,0.65625,0.8,0.7636363636363637,0.3904245767295093,0.34844868735083534,0.5476190476190477,0.22664860561936595,0.6365103698727175,0.2398025912819918,0.7125,0.9160302519663499,0.5221021706227701,exploratory_best_on_same_benchmark
ensemble_logit_mean,anthropic+gemini+openai,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,23,4,6,9,0.6428571428571429,0.559375,0.7931034482758621,0.71875,0.4,0.7540983606557377,0.10940519192990869,0.1076487252124646,0.6904761904761905,0.31995003555898566,3.5253168025697335,0.32316605403704735,0.615625,0.8372265582434346,0.6210549481811053,exploratory_best_on_same_benchmark
ensemble_logit_mean,anthropic+gemini+openai,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,isotonic_tuned_threshold,42,32,10,20,6,4,12,0.6190476190476191,0.6125,0.8333333333333334,0.625,0.6,0.7142857142857143,0.19364916731037085,0.17647058823529405,0.5714285714285714,0.3894557646479556,4.495632257091456,0.3933398167505562,0.634375,0.8628722575733445,0.5719120072267467,exploratory_best_on_same_benchmark
ensemble_logit_mean,anthropic+gemini+openai,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,stacked_logistic_tuned_threshold,42,32,10,19,8,2,13,0.6428571428571429,0.696875,0.9047619047619048,0.59375,0.8,0.7169811320754716,0.33541019662496846,0.2857142857142857,0.5,0.27081664317997367,0.7559713083475373,0.26642341902552524,0.625,0.883466950162155,0.6204318234108972,exploratory_best_on_same_benchmark
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18193808736818834,0.7735728016416435,0.10602229310854783,0.621875,0.8478000204053192,0.7488794359656905,exploratory_best_on_same_benchmark
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,evidence_gate_tuned,42,32,10,20,7,3,12,0.6428571428571429,0.6625,0.8695652173913043,0.625,0.7,0.7272727272727273,0.2781106573963628,0.2482100238663485,0.5476190476190477,0.2589027023409322,0.6918469781163101,0.28873703091084063,0.7406249999999999,0.8931088060224089,0.47316773099392123,exploratory_best_on_same_benchmark
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,23,3,7,9,0.6190476190476191,0.509375,0.7666666666666667,0.71875,0.3,0.7419354838709677,0.017677669529663688,0.01754385964912275,0.7142857142857143,0.34195757069720906,3.593314049855464,0.2513411477702191,0.54375,0.8025979662698413,0.584675052532124,exploratory_best_on_same_benchmark
gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,stacked_logistic_0.5,42,32,10,23,5,5,9,0.6666666666666666,0.609375,0.8214285714285714,0.71875,0.5,0.7666666666666667,0.19764235376052372,0.1923076923076923,0.6666666666666666,0.1991605810597416,0.5697708272963407,0.17944241290501056,0.63125,0.8684590621601944,0.6904075294521782,exploratory_best_on_same_benchmark
gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,isotonic_0.5,42,32,10,22,3,7,10,0.5952380952380952,0.49375,0.7586206896551724,0.6875,0.3,0.7213114754098361,-0.011516335992621968,-0.011331444759206777,0.6904761904761905,0.25600707256060273,0.9437975005767567,0.2639083212067437,0.6078125000000001,0.8405756685530861,0.6630752343488119,exploratory_best_on_same_benchmark
