provider,model,condition_id,definition_id,prompt_style,label_space,seed,label_family,task,method,n,classes_in_gold,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa,log_loss,multiclass_brier,top2_accuracy
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.13333333333333333,0.26666666666666666,0.1,0.2,0.11764705882352944,1.2746916598063007,0.678479986000277,0.8
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.13333333333333333,0.26666666666666666,0.1,0.2,0.11764705882352944,1.2777922971133937,0.7465200000000001,0.8
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.13333333333333333,0.26666666666666666,0.1,0.2,0.11764705882352944,1.2234055540166655,0.67376,0.8
ensemble_arithmetic_mean,anthropic+gemini+openai,P1_DIRECT,D0_none,P1_direct,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.2,0.4,0.2,0.2,0.11764705882352955,0.9875302248369376,0.5758267021999952,1.0
ensemble_arithmetic_mean,anthropic+gemini+openai,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.3333333333333333,0.6666666666666666,0.4,0.3,0.4444444444444444,0.9588469367862598,0.5124444673333813,0.8
ensemble_arithmetic_mean,anthropic+gemini+openai,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.4,0.6,0.4,0.4,0.375,0.9708123673354374,0.5259466502667146,0.8
ensemble_logit_mean,anthropic+gemini+openai,P1_DIRECT,D0_none,P1_direct,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.2,0.4,0.2,0.2,0.11764705882352955,0.9875302248369376,0.5758267021999952,1.0
ensemble_logit_mean,anthropic+gemini+openai,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.3333333333333333,0.6666666666666666,0.4,0.3,0.4444444444444444,0.9588469367862598,0.5124444673333813,0.8
ensemble_logit_mean,anthropic+gemini+openai,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.4,0.6,0.4,0.4,0.375,0.9708123673354374,0.5259466502667146,0.8
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.4,0.6,0.4,0.4,0.375,1.233163586850552,0.6756800000000001,1.0
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.2333333333333333,0.4666666666666666,0.3,0.2,0.16666666666666674,1.0005338248896156,0.595999924000638,1.0
gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.36,0.52,0.3333333333333333,0.4,0.4444444444444444,1.0179359002874417,0.546999912000284,1.0
openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17,new_target,conditional_positive,raw_argmax,5,3,0.4,0.2333333333333333,0.4666666666666666,0.3,0.2,0.16666666666666674,1.1327178315424575,0.6797600000000001,1.0
openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.36666666666666664,0.6333333333333333,0.4666666666666667,0.4,0.4444444444444444,1.0459637394317656,0.51692,0.6
openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,conditional_positive,raw_argmax,5,3,0.6,0.3666666666666666,0.5999999999999999,0.4,0.4,0.41176470588235303,1.0047745041756553,0.55528,1.0
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.4,0.17857142857142858,0.4476190476190476,0.2222222222222222,0.2333333333333333,0.21052631578947367,1.2203070492727428,0.6444718213735959,0.8666666666666667
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.6666666666666666,0.25146198830409355,0.6502923976608187,0.23148148148148148,0.3,0.40944881889763773,0.9974557092453838,0.49632310298982546,0.8666666666666667
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.7333333333333333,0.22826086956521738,0.6463768115942029,0.21153846153846154,0.25,0.34065934065934067,0.9239007066248012,0.44718231085737303,0.8
ensemble_arithmetic_mean,anthropic+gemini+openai,P1_DIRECT,D0_none,P1_direct,new,17,new_target,joint_end_to_end,raw_argmax,15,4,0.6666666666666666,0.14492753623188406,0.5797101449275363,0.12820512820512822,0.16666666666666666,0.19354838709677424,0.7849306775463727,0.41469554995722,0.8666666666666667
