repeat,fold,train_n,test_n,raw_threshold,platt_threshold,isotonic_threshold,evidence_gate_threshold,stacked_threshold,raw_train_specificity,platt_train_specificity,isotonic_train_specificity,gate_train_specificity,stacked_train_specificity,provider,model,condition_id,definition_id,prompt_style,label_space,seed
0,0,21,21,0.76,0.85,0.86,0.87,0.85,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
0,1,28,14,0.86,0.8,0.81,0.93,0.8,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
0,2,35,7,0.86,0.77,0.76,0.93,0.77,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
0,0,21,21,0.76,0.79,0.73,0.87,0.79,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,1,28,14,0.26,0.77,0.74,0.51,0.77,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,2,35,7,0.76,0.78,0.76,0.87,0.78,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,0,21,21,0.76,0.83,0.78,0.87,0.83,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,1,28,14,0.29,0.78,0.7,0.53,0.78,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,2,35,7,0.76,0.79,0.73,0.87,0.79,1.0,1.0,1.0,1.0,1.0,anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,0,21,21,0.29,0.63,0.55,0.36,0.64,1.0,1.0,1.0,0.8,1.0,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,1,28,14,0.26,0.79,0.77,0.34,0.79,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,2,35,7,0.29,0.73,0.7,0.4,0.73,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,0,21,21,0.29,0.69,0.67,0.42,0.68,1.0,1.0,1.0,1.0,0.8,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,1,28,14,0.26,0.79,0.74,0.34,0.79,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,2,35,7,0.29,0.75,0.7,0.42,0.75,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,0,21,21,0.16,0.68,0.63,0.39,0.68,0.8,0.8,0.8,0.8,0.8,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
0,1,28,14,0.16,0.78,0.72,0.39,0.78,1.0,1.0,1.0,1.0,1.0,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
0,2,35,7,0.16,0.72,0.66,0.39,0.72,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17
0,0,21,21,0.06,0.34,0.21,0.23,0.34,0.8,0.8,0.8,0.8,0.8,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,1,28,14,0.11,0.79,0.72,0.32,0.79,1.0,1.0,1.0,1.0,1.0,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,2,35,7,0.11,0.74,0.72,0.32,0.74,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,0,21,21,0.16,0.63,0.72,0.39,0.63,0.8,0.8,0.8,0.8,0.8,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,1,28,14,0.11,0.8,0.78,0.32,0.8,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,2,35,7,0.16,0.75,0.74,0.39,0.75,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,0,21,21,0.21,0.76,0.72,0.32,0.76,1.0,1.0,1.0,1.0,1.0,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,1,28,14,0.06,0.75,0.65,0.17,0.75,1.0,1.0,1.0,1.0,0.8333333333333334,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,2,35,7,0.21,0.82,0.84,0.32,0.78,1.0,1.0,1.0,1.0,0.8888888888888888,gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,0,21,21,0.11,0.66,0.76,0.24,0.65,0.8,0.8,0.8,1.0,0.8,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,1,28,14,0.11,0.81,0.76,0.2,0.8,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,2,35,7,0.11,0.75,0.66,0.24,0.74,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17
0,0,21,21,0.21,0.62,0.61,0.45,0.62,0.8,0.8,0.8,0.8,0.8,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
0,1,28,14,0.63,0.83,0.77,0.79,0.83,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
0,2,35,7,0.63,0.81,0.7,0.79,0.81,0.8888888888888888,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17
0,0,21,21,0.13,0.61,0.29,0.35,0.61,1.0,1.0,1.0,1.0,1.0,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,1,28,14,0.09,0.79,0.69,0.29,0.79,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,2,35,7,0.15,0.76,0.6,0.38,0.76,1.0,1.0,1.0,1.0,1.0,openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17
0,0,21,21,0.09,0.54,0.51,0.29,0.54,0.8,0.8,0.8,0.8,0.8,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,1,28,14,0.07,0.79,0.69,0.25,0.79,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,2,35,7,0.11,0.77,0.64,0.32,0.77,1.0,1.0,1.0,1.0,1.0,openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17
0,0,21,21,0.1,0.66,0.67,0.2,0.57,1.0,1.0,1.0,1.0,0.8,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,1,28,14,0.08,0.81,0.74,0.18,0.8,1.0,1.0,1.0,1.0,0.8333333333333334,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
0,2,35,7,0.1,0.77,0.64,0.18,0.75,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17
