method,row_id,document,gold_binary,score,prediction,mean_selected_threshold,prediction_vote_share,cv_appearances,provider,model,condition_id,definition_id,prompt_style,label_space,seed
raw_0.5,P001,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.85,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P002,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P003,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P004,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P005,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P006,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P007,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.15,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P008,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P009,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P010,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P011,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P012,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P013,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P014,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P015,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.15,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P016,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P017,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P018,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.15,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P019,Lessons Learned: EPA’s Response to Hurricane Katrina,1,0.25,0,0.5,0.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P020,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P021,Lessons Learned: EPA’s Response to Hurricane Katrina,0,0.85,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P022,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.65,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P023,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
raw_0.5,P024,"Hurricane Katrina: GAO’s Preliminary Observations Regarding Preparedness, Response, and Recovery",1,0.75,1,0.5,1.0,1,anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17
