provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,evidence_gate_tuned,42,32,10,0,8,2,32,0.19047619047619047,0.4,0.0,0.0,0.8,0.0,-0.4,-0.0984615384615386,0.047619047619047616,0.19992068775743052,0.6063981338021777,0.15333469548344447,0.48125,0.7599053724053725,0.7562820766197409
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.23549917589897862,1.2108212425231961,0.14132648299319733,0.38125,0.7285714285714285,0.7508502925170067
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,isotonic_tuned_threshold,42,32,10,0,8,2,32,0.19047619047619047,0.4,0.0,0.0,0.8,0.0,-0.4,-0.0984615384615386,0.047619047619047616,0.23549917589897862,1.2108212425231961,0.14132648299319733,0.38125,0.7285714285714285,0.7508502925170067
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,platt_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.21924542620597162,0.6484698790914548,0.11962041733847378,0.365625,0.7241310092413034,0.7421966516774592
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,platt_tuned_threshold,42,32,10,0,8,2,32,0.19047619047619047,0.4,0.0,0.0,0.8,0.0,-0.4,-0.0984615384615386,0.047619047619047616,0.21924542620597162,0.6484698790914548,0.11962041733847378,0.365625,0.7241310092413034,0.7421966516774592
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,raw_0.5,42,32,10,24,4,6,8,0.6666666666666666,0.575,0.8,0.75,0.4,0.7741935483870968,0.1414213562373095,0.14035087719298245,0.7142857142857143,0.24686666666666665,0.7064321320823691,0.22428571428571425,0.48125,0.7599053724053725,0.6042857142857142
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,raw_tuned_threshold,42,32,10,0,8,2,32,0.19047619047619047,0.4,0.0,0.0,0.8,0.0,-0.4,-0.0984615384615386,0.047619047619047616,0.24686666666666665,0.7064321320823691,0.22428571428571425,0.48125,0.7599053724053725,0.6042857142857142
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,stacked_logistic_0.5,42,32,10,26,1,9,6,0.6428571428571429,0.45625,0.7428571428571429,0.8125,0.1,0.7761194029850746,-0.1,-0.09756097560975596,0.8333333333333334,0.21924534147421132,0.6484660314898615,0.11962848232148815,0.365625,0.7241310092413034,0.7422050916339892
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,stacked_logistic_tuned_threshold,42,32,10,0,8,2,32,0.19047619047619047,0.4,0.0,0.0,0.8,0.0,-0.4,-0.0984615384615386,0.047619047619047616,0.21924534147421132,0.6484660314898615,0.11962848232148815,0.365625,0.7241310092413034,0.7422050916339892
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,evidence_gate_tuned,42,32,10,9,7,3,23,0.38095238095238093,0.490625,0.75,0.28125,0.7,0.4090909090909091,-0.017677669529663688,-0.011111111111111072,0.2857142857142857,0.22169105418687968,0.627906837585524,0.18239928240899395,0.5859375,0.812946303872868,0.6586784430853333
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.1882410171091866,0.5737653822452431,0.10097184649011112,0.54375,0.788839052470518,0.769157880782616
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,isotonic_tuned_threshold,42,32,10,9,7,3,23,0.38095238095238093,0.490625,0.75,0.28125,0.7,0.4090909090909091,-0.017677669529663688,-0.011111111111111072,0.2857142857142857,0.1882410171091866,0.5737653822452431,0.10097184649011112,0.54375,0.788839052470518,0.769157880782616
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,platt_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18712576276873444,0.568129805236267,0.11031354368728549,0.540625,0.7895412736721549,0.7553226716865774
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,platt_tuned_threshold,42,32,10,9,7,3,23,0.38095238095238093,0.490625,0.75,0.28125,0.7,0.4090909090909091,-0.017677669529663688,-0.011111111111111072,0.2857142857142857,0.18712576276873444,0.568129805236267,0.11031354368728549,0.540625,0.7895412736721549,0.7553226716865774
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,raw_0.5,42,32,10,17,6,4,15,0.5476190476190477,0.565625,0.8095238095238095,0.53125,0.6,0.6415094339622641,0.11180339887498948,0.09523809523809523,0.5,0.31305952380952384,0.8700458952925904,0.27404761904761904,0.5859375,0.812946303872868,0.4878571428571429
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,raw_tuned_threshold,42,32,10,9,7,3,23,0.38095238095238093,0.490625,0.75,0.28125,0.7,0.4090909090909091,-0.017677669529663688,-0.011111111111111072,0.2857142857142857,0.31305952380952384,0.8700458952925904,0.27404761904761904,0.5859375,0.812946303872868,0.4878571428571429
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,stacked_logistic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18712289143455194,0.5681398264188005,0.11025379632590894,0.540625,0.7895412736721549,0.7554135283204486
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,stacked_logistic_tuned_threshold,42,32,10,9,7,3,23,0.38095238095238093,0.490625,0.75,0.28125,0.7,0.4090909090909091,-0.017677669529663688,-0.011111111111111072,0.2857142857142857,0.18712289143455194,0.5681398264188005,0.11025379632590894,0.540625,0.7895412736721549,0.7554135283204486
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,evidence_gate_tuned,42,32,10,9,8,2,23,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067846,0.047186932849364926,0.2619047619047619,0.2199165768712187,0.6187238456711499,0.1740507260440388,0.5859375,0.8314812898912163,0.6544460814103223
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.18464632633733044,0.5461761930673545,0.13716159251859258,0.609375,0.8383938365556012,0.7360069056499056
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,isotonic_tuned_threshold,42,32,10,9,8,2,23,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067846,0.047186932849364926,0.2619047619047619,0.18464632633733044,0.5461761930673545,0.13716159251859258,0.609375,0.8383938365556012,0.7360069056499056
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,platt_0.5,42,32,10,28,1,9,4,0.6904761904761905,0.4875,0.7567567567567568,0.875,0.1,0.8115942028985508,-0.032879797461071454,-0.030188679245283012,0.8809523809523809,0.20503617733338983,0.5940384687813843,0.11820717768977541,0.5671875,0.8230735696498563,0.7072881836472127
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,platt_tuned_threshold,42,32,10,9,8,2,23,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067846,0.047186932849364926,0.2619047619047619,0.20503617733338983,0.5940384687813843,0.11820717768977541,0.5671875,0.8230735696498563,0.7072881836472127
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,raw_0.5,42,32,10,18,7,3,14,0.5952380952380952,0.63125,0.8571428571428571,0.5625,0.7,0.6792452830188679,0.22360679774997896,0.19047619047619047,0.5,0.30144047619047615,0.8777583453907655,0.275,0.5859375,0.8314812898912163,0.4869047619047619
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,raw_tuned_threshold,42,32,10,9,8,2,23,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067846,0.047186932849364926,0.2619047619047619,0.30144047619047615,0.8777583453907655,0.275,0.5859375,0.8314812898912163,0.4869047619047619
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,stacked_logistic_0.5,42,32,10,28,1,9,4,0.6904761904761905,0.4875,0.7567567567567568,0.875,0.1,0.8115942028985508,-0.032879797461071454,-0.030188679245283012,0.8809523809523809,0.2050269437374453,0.5940229035094339,0.1181986039902507,0.5671875,0.8230735696498563,0.7073153646954399
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,stacked_logistic_tuned_threshold,42,32,10,9,8,2,23,0.40476190476190477,0.540625,0.8181818181818182,0.28125,0.8,0.4186046511627907,0.07870841545067846,0.047186932849364926,0.2619047619047619,0.2050269437374453,0.5940229035094339,0.1181986039902507,0.5671875,0.8230735696498563,0.7073153646954399
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,evidence_gate_tuned,42,32,10,15,7,3,17,0.5238095238095238,0.584375,0.8333333333333334,0.46875,0.7,0.6,0.14523687548277814,0.11392405063291133,0.42857142857142855,0.29925649497866974,0.8325069161199826,0.32273278674169575,0.653125,0.8839433757837318,0.4391719751630661
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,isotonic_0.5,42,32,10,32,0,10,0,0.7619047619047619,0.5,0.7619047619047619,1.0,0.0,0.8648648648648649,0.0,0.0,1.0,0.20630946712537498,0.8668196052842004,0.15782103716743615,0.515625,0.7723398109243698,0.7318846547093144
