provider,model,condition_id,definition_id,prompt_style,label_space,seed,method,n,positives,negatives,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,cohen_kappa,positive_call_rate,brier,log_loss,ece_10,roc_auc,pr_auc,mean_probability
anthropic,claude-haiku-4-5-20251001,P1_DIRECT,D0_none,P1_direct,new,17,probability_argmax_0.5,42,32,10,24,4,6,8,0.6666666666666666,0.575,0.8,0.75,0.4,0.7741935483870968,0.1414213562373095,0.14035087719298245,0.7142857142857143,0.24686666666666665,0.7064321320823691,0.22428571428571425,0.48125,0.7599053724053725,0.6042857142857142
anthropic,claude-haiku-4-5-20251001,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,probability_argmax_0.5,42,32,10,17,6,4,15,0.5476190476190477,0.565625,0.8095238095238095,0.53125,0.6,0.6415094339622641,0.11180339887498948,0.09523809523809523,0.5,0.31305952380952384,0.8700458952925904,0.27404761904761904,0.5859375,0.812946303872868,0.4878571428571429
anthropic,claude-haiku-4-5-20251001,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,probability_argmax_0.5,42,32,10,18,7,3,14,0.5952380952380952,0.63125,0.8571428571428571,0.5625,0.7,0.6792452830188679,0.22360679774997896,0.19047619047619047,0.5,0.30144047619047615,0.8777583453907655,0.275,0.5859375,0.8314812898912163,0.4869047619047619
anthropic,claude-haiku-4-5-20251001,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,probability_argmax_0.5,42,32,10,13,9,1,19,0.5238095238095238,0.653125,0.9285714285714286,0.40625,0.9,0.5652173913043478,0.2766992952647332,0.18918918918918914,0.3333333333333333,0.3258047619047619,0.9135070107961244,0.35857142857142854,0.6390625,0.8501103737473895,0.40333333333333327
anthropic,claude-haiku-4-5-20251001,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,probability_argmax_0.5,42,32,10,9,9,1,23,0.42857142857142855,0.590625,0.9,0.28125,0.9,0.42857142857142855,0.18125,0.10320284697508886,0.23809523809523808,0.37889285714285714,1.0606524883126618,0.44785714285714273,0.6171875,0.8548719845342829,0.34500000000000003
gemini,gemini-3.1-flash-lite,P1_DIRECT,D0_none,P1_direct,new,17,probability_argmax_0.5,42,32,10,14,9,1,18,0.5476190476190477,0.66875,0.9333333333333333,0.4375,0.9,0.5957446808510638,0.3,0.21301775147929003,0.35714285714285715,0.37440476190476185,1.1487361798979976,0.4095238095238095,0.6656249999999999,0.8739472477753727,0.3523809523809524
gemini,gemini-3.1-flash-lite,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,probability_argmax_0.5,42,32,10,13,10,0,19,0.5476190476190477,0.703125,1.0,0.40625,1.0,0.5777777777777777,0.37428091976021394,0.2457466918714556,0.30952380952380953,0.3926785714285713,1.2572337310458874,0.4416666666666666,0.7406249999999999,0.8931088060224089,0.32023809523809527
gemini,gemini-3.1-flash-lite,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,probability_argmax_0.5,42,32,10,11,9,1,21,0.47619047619047616,0.621875,0.9166666666666666,0.34375,0.9,0.5,0.22980970388562794,0.1444444444444445,0.2857142857142857,0.44054523809523805,1.359746564001319,0.46738095238095234,0.671875,0.862369337979094,0.2945238095238095
gemini,gemini-3.1-flash-lite,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,probability_argmax_0.5,42,32,10,9,10,0,23,0.4523809523809524,0.640625,1.0,0.28125,1.0,0.43902439024390244,0.2919371040605711,0.15706806282722507,0.21428571428571427,0.472045238095238,1.5326564032139443,0.5178571428571429,0.7046875,0.8762691576715967,0.2440476190476191
gemini,gemini-3.1-flash-lite,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,probability_argmax_0.5,42,32,10,7,10,0,25,0.40476190476190477,0.609375,1.0,0.21875,1.0,0.358974358974359,0.25,0.11764705882352944,0.16666666666666666,0.5009619047619047,1.555164903298662,0.5495238095238094,0.684375,0.8667566782810685,0.21238095238095234
openai,gpt-5.6-terra,P1_DIRECT,D0_none,P1_direct,new,17,probability_argmax_0.5,42,32,10,13,8,2,19,0.5,0.603125,0.8666666666666667,0.40625,0.8,0.5531914893617021,0.18333333333333332,0.13017751479289952,0.35714285714285715,0.3423357142857143,0.9924467431133088,0.36023809523809525,0.6546875,0.8736803524962754,0.403095238095238
openai,gpt-5.6-terra,P2_D1_OLD,D1_old_broad,P2_simple_definition,old,17,probability_argmax_0.5,42,32,10,12,10,0,20,0.5238095238095238,0.6875,1.0,0.375,1.0,0.5454545454545454,0.35355339059327373,0.2222222222222222,0.2857142857142857,0.42308154761904765,1.5204530066966329,0.48892857142857143,0.6484375,0.8957288646313037,0.27297619047619054
openai,gpt-5.6-terra,P2_D2_CURRENT,D2_current_strict,P2_simple_definition,new,17,probability_argmax_0.5,42,32,10,6,10,0,26,0.38095238095238093,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.22821773229381923,0.09900990099009888,0.14285714285714285,0.48436309523809534,1.6733718342018837,0.5449999999999999,0.6796875,0.902700620436962,0.21690476190476188
openai,gpt-5.6-terra,P3_D1_OLD,D1_old_broad,P3_evidence_checklist,old,17,probability_argmax_0.5,42,32,10,8,10,0,24,0.42857142857142855,0.625,1.0,0.25,1.0,0.4,0.2711630722733202,0.136986301369863,0.19047619047619047,0.47656309523809515,1.661875436438714,0.5354761904761904,0.6796875,0.8922628472866585,0.22642857142857148
openai,gpt-5.6-terra,P3_D2_CURRENT,D2_current_strict,P3_evidence_checklist,new,17,probability_argmax_0.5,42,32,10,5,10,0,27,0.35714285714285715,0.578125,1.0,0.15625,1.0,0.2702702702702703,0.20549873413169661,0.08103727714748776,0.11904761904761904,0.5265845238095238,1.8181740137580236,0.5838095238095238,0.6875,0.9013220058450322,0.1780952380952381
