provider,model,seed,condition_id,rows,estimated_input_tokens,assumed_output_tokens,estimated_cost_usd
openai,gpt-5.6-terra,17,P1_DIRECT,42,34726,27300,
openai,gpt-5.6-terra,17,P2_D1_OLD,42,136492,27300,
openai,gpt-5.6-terra,17,P2_D2_CURRENT,42,125656,27300,
openai,gpt-5.6-terra,17,P3_D1_OLD,42,153292,27300,
openai,gpt-5.6-terra,17,P3_D2_CURRENT,42,142456,27300,
anthropic,claude-haiku-4-5-20251001,17,P1_DIRECT,42,40384,27300,
anthropic,claude-haiku-4-5-20251001,17,P2_D1_OLD,42,169828,27300,
anthropic,claude-haiku-4-5-20251001,17,P2_D2_CURRENT,42,159189,27300,
anthropic,claude-haiku-4-5-20251001,17,P3_D1_OLD,42,188476,27300,
anthropic,claude-haiku-4-5-20251001,17,P3_D2_CURRENT,42,177837,27300,
gemini,gemini-3.1-flash-lite,17,P1_DIRECT,42,40384,27300,
gemini,gemini-3.1-flash-lite,17,P2_D1_OLD,42,169828,27300,
gemini,gemini-3.1-flash-lite,17,P2_D2_CURRENT,42,159189,27300,
gemini,gemini-3.1-flash-lite,17,P3_D1_OLD,42,188476,27300,
gemini,gemini-3.1-flash-lite,17,P3_D2_CURRENT,42,177837,27300,
