source_group,original_path,sha256,size_bytes,reason,notes
current_upload,CSCW_Workshop_Unlearning_3Pager.pdf,f76e023f82fc2c9f3b77cda4ac7c6b36ef8f16db561ad419054502f00a137c0a,2180714,context-only team paper; explicitly excluded from GitHub,
desktop,Old Desktop/Dataset_17Nov_2025_v1.xlsx,de840684913f22e746a22937acf30232b636a1729e2ceeef549f041a488c8fdd,25486,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/To upload each time/Public Administration Review - 2010 - McGuire - What if Hurricane Katrina Hit in 2020  The Need for Strategic Management of.pdf,a826c7e9e5a40d3a4b2197b47b0210f2487d713551d8c3471b89e85888ea0dfb,536373,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/To upload each time/Unlearning_Codebook_Combined_Human_Test_Set.xlsx,97fce08b7ca7af29323c7cb6b59e3529e5a97a2c32e412067581963e7109436e,90271,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/EPA 20060914-2006-p-00033.pdf,6637d9ed273f1ee64d468327d99522c73599500cdb1098165925e5d766c1301a,245036,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/Post-Katrina preparedness.pdf,3e48cdc29b0e27b43e1ad8e21ebcecc58bfc0d9919ea3e6e920ee7f8d343b013,996655,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/Public Administration Review - 2010 - McGuire - What if Hurricane Katrina Hit in 2020  The Need for Strategic Management of.pdf,a826c7e9e5a40d3a4b2197b47b0210f2487d713551d8c3471b89e85888ea0dfb,536373,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/To annotate/EPA 20060914-2006-p-00033.pdf,6637d9ed273f1ee64d468327d99522c73599500cdb1098165925e5d766c1301a,245036,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/To annotate/Post-Katrina preparedness.pdf,3e48cdc29b0e27b43e1ad8e21ebcecc58bfc0d9919ea3e6e920ee7f8d343b013,996655,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/To annotate/gao-06-442t.pdf,c9e7b99af7e6cbc415bac3603f16bc2b82a72a4f7ba153cc2e7110700f4c3553,252713,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/Unlearning_GPT_Test_Paragraph_Aligned_ALL.xlsx,a148051e24ccab080b35a2404cebddeff24cd7c0aec9b5af1f45c42a39c85d31,284948,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
desktop,Old Desktop/Unlearning Docs/erpreport.pdf,26d196af7a51aa4488d991b017e6494462131d0c8c52da97052ce9e3a0d687a4,2919182,"exact duplicate of a canonical, experiment, notebook, or higher-priority file already included",
