source_group,original_path,sha256,size_bytes,code_cells,output_cells,stored_outputs,stored_error_outputs,last_errors,status,repository_path,exclusion_reason
desktop,Old Desktop/Temp/Unlearning_AB_Test_Pipeline_v2_5_4_nano.ipynb,82b7e03be405ea00fe5b3b384b4a3f734375a5b51d2d61e0e7bee7a5720afbf8,287125,30,15,26,3,KeyboardInterrupt:  | NameError: name 'results_df' is not defined | KeyError: 'ground_truth_unlearning_norm',included,notebooks/historical/incomplete/prompt_ab_v2_5_4_nano_partial.ipynb,
desktop,Old Desktop/Temp/unlearning_annotation_pipeline 4o mini.ipynb,2522540a69923bfb85fee6d5a102e97cdb8daa64cd8eeefff88dcdcb4a16c109,59633,15,10,13,0,,included,notebooks/historical/completed/initial_mcguire_4o_mini_executed.ipynb,
downloads,from downloads folder/Copy_of_Unlearning_AB_Test_Pipeline_v4_PROVIDER_SEPARATED_FIXED_updated_test_set.ipynb,f331756ab02e143e9cdc77ed0c1cde2c9aa5c096c4f0327e64c30aca12e0fca7,649296,23,17,55,0,,included,notebooks/historical/completed/prompt_ab_v4_updated_test_set_executed.ipynb,
downloads,from downloads folder/Unlearning_AB_Test_Pipeline.ipynb,53c29159094717a6c4e835f1e0e0c59cc46b23c833a5c00f156de46409eba99f,54015,12,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v2.ipynb,34f10de162fb5fc51c3ade32b356244272b33c90caa4bac234a0ad947d0fa9ca,53878,12,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v2_5_4_nano.ipynb,82b7e03be405ea00fe5b3b384b4a3f734375a5b51d2d61e0e7bee7a5720afbf8,287125,30,15,26,3,KeyboardInterrupt:  | NameError: name 'results_df' is not defined | KeyError: 'ground_truth_unlearning_norm',excluded,notebooks/historical/incomplete/prompt_ab_v2_5_4_nano_partial.ipynb,exact duplicate of included output-bearing notebook
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v3_PROMPT_PARITY_FIXED.ipynb,3c97ad2b9eb3da4207f1424803e653b7805de03f539887814accdc9a9e4448fa,88522,14,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v4_PROVIDER_SEPARATED_FIXED (1).ipynb,328a6ccbb5a01b0176a6cd35a0d416b68c389ec0fccdc53c9a65ae021e97066a,697994,37,22,81,1,KeyboardInterrupt: ,included,notebooks/historical/incomplete/prompt_ab_v4_provider_separated_interrupted.ipynb,
downloads,from downloads folder/Unlearning_AB_Test_Pipeline_v4_PROVIDER_SEPARATED_FIXED.ipynb,ad9e7d0c8fa5a3d33a29c3f4fb92d9abdd586534aafd6fc9b8f4322a7bbf10bf,95602,17,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_AB_Testing_Pipeline.ipynb,4c88b53fab9f4d2863ebbcc64b96500daee922180973f9dd5c01629b785114b6,46535,11,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Definitions_Only_Pipeline (1).ipynb,dff184dad0153e7b084eecefbb33ce7fb68be165d76b81383823ed548fbcb8b8,614071,28,17,63,0,,excluded,notebooks/historical/completed/definitions_only_codebook_benchmark_executed.ipynb,exact duplicate of included output-bearing notebook
downloads,from downloads folder/Unlearning_Definitions_Only_Pipeline.ipynb,dff184dad0153e7b084eecefbb33ce7fb68be165d76b81383823ed548fbcb8b8,614071,28,17,63,0,,included,notebooks/historical/completed/definitions_only_codebook_benchmark_executed.ipynb,
downloads,from downloads folder/Unlearning_Definitions_Only_Pipeline_Combined_Human_Test_Set.ipynb,432cff5c1edc7fc0bdf6df8d724790059fca6aac1cfec7c815653e838e25f487,137297,17,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Definitions_Only_v5_Pipeline_Combined_Human_Test_Set (1).ipynb,a15d806fa730e7b7ae11ba5a37a3f0acac5da3f3c6704a029c62686c8ce04314,586407,28,18,62,1,FileNotFoundError: Workbook not found: /content/Unlearning_Codebook_Combined_Human_Test_Set.xlsx. Upload the workbook to Colab or update WORKBOOK_PATH.,included,notebooks/historical/incomplete/definitions_only_v5_combined_human_missing_input.ipynb,
downloads,from downloads folder/Unlearning_Evidence_First_v6_49Rows_Pipeline.ipynb,ec415aa2025d5d9411518b55ec1c7139eb942a2a0e6ddd0b1f9e25e9ec586a0c,79851,12,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Final_FullPDF_AB_Evaluation_Pipeline (1).ipynb,a6242107c1b736ecbcd53cf42301b368b3be0e6a20905825d3ba49fdf5ccea01,1033588,41,17,51,1,NameError: name 'PROMPT_MANIFEST_DF' is not defined,included,notebooks/historical/incomplete/full_pdf_evaluation_partial.ipynb,
downloads,from downloads folder/Unlearning_Final_FullPDF_AB_Evaluation_Pipeline.ipynb,6184b8e30c2850b3f859ae540998651e4aba8e7fb21a509941980326e53ad660,274089,32,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_LangChain_Retrieval_AUROC_Experiment.ipynb,3c9daf3fd7aed162d2b23943b014d41859db36b7cfe62e42c7065b45c50bcda3,237691,33,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Local_Context_Definitions_Only_FIXED (1).ipynb,30a080bc4b3ff585a73ccd1a459bcd73dc27a33b37e69468f020a4974c4d764b,476779,21,18,46,0,,included,notebooks/historical/completed/local_context_definitions_only_executed.ipynb,
downloads,from downloads folder/Unlearning_Local_Context_Definitions_Only_FIXED.ipynb,6670133349784eaba508e30037ab8983b7d405ca2ee8fbc6561033f103d78aac,73473,17,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Paragraph_Level_Colab_Experiment.ipynb,83ae1811ce7601f1a43474bcb3caa51a0d2df169bf17d3178bd26033b1cd53b6,270635,59,0,0,0,,excluded,,no stored outputs
downloads,from downloads folder/Unlearning_Paragraph_Level_GPT_Test_First_Colab (1).ipynb,e18f9409e6e57050a6be79eeabe8b84a863cb41c7337a0368d4ca81a3578eefd,1104826,48,45,116,1,RuntimeError: 442 expected predictions are missing for GPT Test ALL. See /content/drive/MyDrive/Unlearning_Paragraph_Level_LLM_Experiment/paragraph_level_gpt_test_first_v2_20260821/logs/missing__gpt_test_all__stage2_checklist_ab.csv. Run the relevant provider/model cells first.,included,notebooks/historical/incomplete/paragraph_level_gpt_test_first_interrupted.ipynb,
